"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage,,,,,,,,
"[17, 257, 4369, 4096, 36097, 6777, 769]",4369,4096,36097,99.95,,,,,,,,
"[17, 257, 4369, 4096, 36353, 4553, 513]",4369,4096,36353,99.95,,,,,,,,
"[17, 257, 4369, 4096, 37633, 30586, 3329]",4369,4096,37633,99.95,,,,,,,,
"[17, 257, 4369, 4096, 37889, 28426, 3073]",4369,4096,37889,99.95,,,,,,,,
"[17, 257, 4369, 4096, 39937, 9994, 1025]",4369,4096,39937,99.95,,,,,,,,
"[17, 257, 4369, 4096, 40193, 7546, 769]",4369,4096,40193,99.95,,,,,,,,
"[17, 257, 4369, 4096, 40961, 10, 1]",4369,4096,40961,99.95,,,,,,,,
"[17, 257, 4369, 4096, 41729, 33915, 3329]",4369,4096,41729,99.95,,,,,,,,
"[17, 257, 4369, 4096, 43777, 13691, 1281]",4369,4096,43777,99.95,,,,,,,,
"[17, 257, 4369, 4096, 45569, 39884, 3585]",4369,4096,45569,99.95,,,,,,,,
"[17, 257, 4369, 4096, 46337, 31868, 2817]",4369,4096,46337,99.95,,,,,,,,
"[17, 257, 4369, 4096, 49409, 46333, 3841]",4369,4096,49409,99.95,,,,,,,,
"[17, 257, 4369, 4096, 49921, 40573, 3329]",4369,4096,49921,99.95,,,,,,,,
"[17, 257, 4369, 4096, 50177, 37645, 3073]",4369,4096,50177,99.95,,,,,,,,
"[17, 257, 4369, 4096, 51713, 19405, 1537]",4369,4096,51713,99.95,,,,,,,,
"[17, 257, 4369, 4096, 57089, 3582, 257]",4369,4096,57089,99.95,,,,,,,,
"[17, 257, 4369, 4096, 57601, 54015, 3841]",4369,4096,57601,99.95,,,,,,,,
"[17, 257, 4369, 4096, 58369, 43791, 3073]",4369,4096,58369,99.95,,,,,,,,
"[17, 257, 4369, 4096, 59393, 29711, 2049]",4369,4096,59393,99.95,,,,,,,,
"[17, 257, 4369, 4096, 60161, 18815, 1281]",4369,4096,60161,99.95,,,,,,,,
"[17, 257, 4369, 4096, 61441, 15, 1]",4369,4096,61441,99.95,,,,,,,,
"[17, 257, 4369, 4096, 64513, 16144, 1025]",4369,4096,64513,99.95,,,,,,,,
"[17, 257, 4369, 4096, 641, 541, 3457]",4369,4096,641,50.14,,,,,,,,
"[17, 257, 4369, 4096, 1153, 829, 2945]",4369,4096,1153,50.14,,,,,,,,
"[17, 257, 4369, 4096, 1409, 925, 2689]",4369,4096,1409,50.14,,,,,,,,
"[17, 257, 4369, 4096, 2689, 925, 1409]",4369,4096,2689,50.14,,,,,,,,
"[17, 257, 4369, 4096, 3457, 541, 641]",4369,4096,3457,50.14,,,,,,,,
"[17, 257, 4369, 4096, 4481, 4062, 3713]",4369,4096,4481,50.14,,,,,,,,
"[17, 257, 4369, 4096, 4993, 3902, 3201]",4369,4096,4993,50.14,,,,,,,,
"[17, 257, 4369, 4096, 6529, 2654, 1665]",4369,4096,6529,50.14,,,,,,,,
"[17, 257, 4369, 4096, 7297, 1598, 897]",4369,4096,7297,50.14,,,,,,,,
"[17, 257, 4369, 4096, 9601, 6303, 2689]",4369,4096,9601,50.14,,,,,,,,
"[17, 257, 4369, 4096, 9857, 5855, 2433]",4369,4096,9857,50.14,,,,,,,,
"[17, 257, 4369, 4096, 10369, 4863, 1921]",4369,4096,10369,50.14,,,,,,,,
"[17, 257, 4369, 4096, 11393, 2495, 897]",4369,4096,11393,50.14,,,,,,,,
"[17, 257, 4369, 4096, 12161, 383, 129]",4369,4096,12161,50.14,,,,,,,,
"[17, 257, 4369, 4096, 13441, 9664, 2945]",4369,4096,13441,50.14,,,,,,,,
"[17, 257, 4369, 4096, 13697, 8992, 2689]",4369,4096,13697,50.14,,,,,,,,
"[17, 257, 4369, 4096, 15233, 4288, 1153]",4369,4096,15233,50.14,,,,,,,,
"[17, 257, 4369, 4096, 16001, 1504, 385]",4369,4096,16001,50.14,,,,,,,,
"[17, 257, 4369, 4096, 18049, 10721, 2433]",4369,4096,18049,50.14,,,,,,,,
"[17, 257, 4369, 4096, 19073, 6561, 1409]",4369,4096,19073,50.14,,,,,,,,
"[17, 257, 4369, 4096, 19841, 3105, 641]",4369,4096,19841,50.14,,,,,,,,
"[17, 257, 4369, 4096, 20353, 641, 129]",4369,4096,20353,50.14,,,,,,,,
"[17, 257, 4369, 4096, 21121, 17826, 3457]",4369,4096,21121,50.14,,,,,,,,
"[17, 257, 4369, 4096, 21377, 16706, 3201]",4369,4096,21377,50.14,,,,,,,,
"[17, 257, 4369, 4096, 26497, 14083, 2177]",4369,4096,26497,50.14,,,,,,,,
"[17, 257, 4369, 4096, 28289, 2659, 385]",4369,4096,28289,50.14,,,,,,,,
"[17, 257, 4369, 4096, 29569, 23108, 3201]",4369,4096,29569,50.14,,,,,,,,
"[17, 257, 4369, 4096, 30593, 16260, 2177]",4369,4096,30593,50.14,,,,,,,,
"[17, 257, 4369, 4096, 31873, 6980, 897]",4369,4096,31873,50.14,,,,,,,,
"[17, 257, 4369, 4096, 33409, 28197, 3457]",4369,4096,33409,50.14,,,,,,,,
"[17, 257, 4369, 4096, 35201, 14309, 1665]",4369,4096,35201,50.14,,,,,,,,
"[17, 257, 4369, 4096, 35969, 7877, 897]",4369,4096,35969,50.14,,,,,,,,
"[17, 257, 4369, 4096, 38273, 25126, 2689]",4369,4096,38273,50.14,,,,,,,,
"[17, 257, 4369, 4096, 39041, 18310, 1921]",4369,4096,39041,50.14,,,,,,,,
"[17, 257, 4369, 4096, 40577, 3814, 385]",4369,4096,40577,50.14,,,,,,,,
"[17, 257, 4369, 4096, 43649, 15015, 1409]",4369,4096,43649,50.14,,,,,,,,
"[17, 257, 4369, 4096, 44417, 6951, 641]",4369,4096,44417,50.14,,,,,,,,
"[17, 257, 4369, 4096, 45697, 38568, 3457]",4369,4096,45697,50.14,,,,,,,,
"[17, 257, 4369, 4096, 45953, 35912, 3201]",4369,4096,45953,50.14,,,,,,,,
"[17, 257, 4369, 4096, 49537, 44905, 3713]",4369,4096,49537,50.14,,,,,,,,
"[17, 257, 4369, 4096, 51329, 24073, 1921]",4369,4096,51329,50.14,,,,,,,,
"[17, 257, 4369, 4096, 52609, 8233, 641]",4369,4096,52609,50.14,,,,,,,,
"[17, 257, 4369, 4096, 53377, 51722, 3969]",4369,4096,53377,50.14,,,,,,,,
"[17, 257, 4369, 4096, 53633, 48618, 3713]",4369,4096,53633,50.14,,,,,,,,
"[17, 257, 4369, 4096, 54401, 39114, 2945]",4369,4096,54401,50.14,,,,,,,,
"[17, 257, 4369, 4096, 55681, 22634, 1665]",4369,4096,55681,50.14,,,,,,,,
"[17, 257, 4369, 4096, 59009, 35051, 2433]",4369,4096,59009,50.14,,,,,,,,
"[17, 257, 4369, 4096, 60289, 16971, 1153]",4369,4096,60289,50.14,,,,,,,,
"[17, 257, 4369, 4096, 61057, 5739, 385]",4369,4096,61057,50.14,,,,,,,,
"[17, 257, 4369, 4096, 62081, 52396, 3457]",4369,4096,62081,50.14,,,,,,,,
"[17, 257, 4369, 4096, 63361, 33676, 2177]",4369,4096,63361,50.14,,,,,,,,
"[17, 257, 4369, 4096, 63617, 29836, 1921]",4369,4096,63617,50.14,,,,,,,,
"[17, 257, 4369, 4096, 193, 184, 3905]",4369,4096,193,25.23,,,,,,,,
"[17, 257, 4369, 4096, 449, 400, 3649]",4369,4096,449,25.23,,,,,,,,
"[17, 257, 4369, 4096, 577, 496, 3521]",4369,4096,577,25.23,,,,,,,,
"[17, 257, 4369, 4096, 1217, 856, 2881]",4369,4096,1217,25.23,,,,,,,,
"[17, 257, 4369, 4096, 1601, 976, 2497]",4369,4096,1601,25.23,,,,,,,,
"[17, 257, 4369, 4096, 2113, 1024, 1985]",4369,4096,2113,25.23,,,,,,,,
"[17, 257, 4369, 4096, 2753, 904, 1345]",4369,4096,2753,25.23,,,,,,,,
"[17, 257, 4369, 4096, 3137, 736, 961]",4369,4096,3137,25.23,,,,,,,,
"[17, 257, 4369, 4096, 4289, 4089, 3905]",4369,4096,4289,25.23,,,,,,,,
"[17, 257, 4369, 4096, 4673, 4017, 3521]",4369,4096,4673,25.23,,,,,,,,
"[17, 257, 4369, 4096, 4801, 3977, 3393]",4369,4096,4801,25.23,,,,,,,,
"[17, 257, 4369, 4096, 5441, 3657, 2753]",4369,4096,5441,25.23,,,,,,,,
"[17, 257, 4369, 4096, 5569, 3569, 2625]",4369,4096,5569,25.23,,,,,,,,
"[17, 257, 4369, 4096, 5953, 3257, 2241]",4369,4096,5953,25.23,,,,,,,,
"[17, 257, 4369, 4096, 6337, 2873, 1857]",4369,4096,6337,25.23,,,,,,,,
"[17, 257, 4369, 4096, 6977, 2073, 1217]",4369,4096,6977,25.23,,,,,,,,
"[17, 257, 4369, 4096, 7489, 1289, 705]",4369,4096,7489,25.23,,,,,,,,
"[17, 257, 4369, 4096, 7873, 617, 321]",4369,4096,7873,25.23,,,,,,,,
"[17, 257, 4369, 4096, 8513, 7850, 3777]",4369,4096,8513,25.23,,,,,,,,
"[17, 257, 4369, 4096, 8641, 7698, 3649]",4369,4096,8641,25.23,,,,,,,,
"[17, 257, 4369, 4096, 9281, 6818, 3009]",4369,4096,9281,25.23,,,,,,,,
"[17, 257, 4369, 4096, 10177, 5250, 2113]",4369,4096,10177,25.23,,,,,,,,
"[17, 257, 4369, 4096, 10433, 4730, 1857]",4369,4096,10433,25.23,,,,,,,,
"[17, 257, 4369, 4096, 11329, 2658, 961]",4369,4096,11329,25.23,,,,,,,,
"[17, 257, 4369, 4096, 11969, 938, 321]",4369,4096,11969,25.23,,,,,,,,
"[17, 257, 4369, 4096, 12097, 570, 193]",4369,4096,12097,25.23,,,,,,,,
"[17, 257, 4369, 4096, 13121, 10459, 3265]",4369,4096,13121,25.23,,,,,,,,
"[17, 257, 4369, 4096, 13249, 10147, 3137]",4369,4096,13249,25.23,,,,,,,,
"[17, 257, 4369, 4096, 13633, 9163, 2753]",4369,4096,13633,25.23,,,,,,,,
"[17, 257, 4369, 4096, 14401, 6979, 1985]",4369,4096,14401,25.23,,,,,,,,
"[17, 257, 4369, 4096, 14657, 6187, 1729]",4369,4096,14657,25.23,,,,,,,,
"[17, 257, 4369, 4096, 15809, 2227, 577]",4369,4096,15809,25.23,,,,,,,,
"[17, 257, 4369, 4096, 15937, 1747, 449]",4369,4096,15937,25.23,,,,,,,,
"[17, 257, 4369, 4096, 16193, 763, 193]",4369,4096,16193,25.23,,,,,,,,
"[17, 257, 4369, 4096, 17729, 11916, 2753]",4369,4096,17729,25.23,,,,,,,,
"[17, 257, 4369, 4096, 19009, 6836, 1473]",4369,4096,19009,25.23,,,,,,,,
"[17, 257, 4369, 4096, 19777, 3404, 705]",4369,4096,19777,25.23,,,,,,,,
"[17, 257, 4369, 4096, 20161, 1580, 321]",4369,4096,20161,25.23,,,,,,,,
"[17, 257, 4369, 4096, 20929, 18645, 3649]",4369,4096,20929,25.23,,,,,,,,
"[17, 257, 4369, 4096, 21313, 16989, 3265]",4369,4096,21313,25.23,,,,,,,,
"[17, 257, 4369, 4096, 21569, 15845, 3009]",4369,4096,21569,25.23,,,,,,,,
"[17, 257, 4369, 4096, 22721, 10301, 1857]",4369,4096,22721,25.23,,,,,,,,
"[17, 257, 4369, 4096, 23873, 4109, 705]",4369,4096,23873,25.23,,,,,,,,
"[17, 257, 4369, 4096, 24001, 3381, 577]",4369,4096,24001,25.23,,,,,,,,
"[17, 257, 4369, 4096, 25153, 21622, 3521]",4369,4096,25153,25.23,,,,,,,,
"[17, 257, 4369, 4096, 25409, 20254, 3265]",4369,4096,25409,25.23,,,,,,,,
"[17, 257, 4369, 4096, 25537, 19558, 3137]",4369,4096,25537,25.23,,,,,,,,
"[17, 257, 4369, 4096, 25793, 18142, 2881]",4369,4096,25793,25.23,,,,,,,,
"[17, 257, 4369, 4096, 26177, 15958, 2497]",4369,4096,26177,25.23,,,,,,,,
"[17, 257, 4369, 4096, 26561, 13702, 2113]",4369,4096,26561,25.23,,,,,,,,
"[17, 257, 4369, 4096, 27073, 10582, 1601]",4369,4096,27073,25.23,,,,,,,,
"[17, 257, 4369, 4096, 27329, 8974, 1345]",4369,4096,27329,25.23,,,,,,,,
"[17, 257, 4369, 4096, 27457, 8158, 1217]",4369,4096,27457,25.23,,,,,,,,
"[17, 257, 4369, 4096, 28097, 3958, 577]",4369,4096,28097,25.23,,,,,,,,
"[17, 257, 4369, 4096, 29633, 22695, 3137]",4369,4096,29633,25.23,,,,,,,,
"[17, 257, 4369, 4096, 29761, 21863, 3009]",4369,4096,29761,25.23,,,,,,,,
"[17, 257, 4369, 4096, 30529, 16703, 2241]",4369,4096,30529,25.23,,,,,,,,
"[17, 257, 4369, 4096, 32321, 3543, 449]",4369,4096,32321,25.23,,,,,,,,
"[17, 257, 4369, 4096, 32833, 32328, 4033]",4369,4096,32833,25.23,,,,,,,,
"[17, 257, 4369, 4096, 33601, 26784, 3265]",4369,4096,33601,25.23,,,,,,,,
"[17, 257, 4369, 4096, 33857, 24872, 3009]",4369,4096,33857,25.23,,,,,,,,
"[17, 257, 4369, 4096, 34369, 20952, 2497]",4369,4096,34369,25.23,,,,,,,,
"[17, 257, 4369, 4096, 35393, 12728, 1473]",4369,4096,35393,25.23,,,,,,,,
"[17, 257, 4369, 4096, 35521, 11664, 1345]",4369,4096,35521,25.23,,,,,,,,
"[17, 257, 4369, 4096, 36161, 6224, 705]",4369,4096,36161,25.23,,,,,,,,
"[17, 257, 4369, 4096, 36929, 36361, 4033]",4369,4096,36929,25.23,,,,,,,,
"[17, 257, 4369, 4096, 37057, 35329, 3905]",4369,4096,37057,25.23,,,,,,,,
"[17, 257, 4369, 4096, 37313, 33241, 3649]",4369,4096,37313,25.23,,,,,,,,
"[17, 257, 4369, 4096, 37441, 32185, 3521]",4369,4096,37441,25.23,,,,,,,,
"[17, 257, 4369, 4096, 38593, 22321, 2369]",4369,4096,38593,25.23,,,,,,,,
"[17, 257, 4369, 4096, 38977, 18889, 1985]",4369,4096,38977,25.23,,,,,,,,
"[17, 257, 4369, 4096, 39233, 16561, 1729]",4369,4096,39233,25.23,,,,,,,,
"[17, 257, 4369, 4096, 40129, 8161, 833]",4369,4096,40129,25.23,,,,,,,,
"[17, 257, 4369, 4096, 40897, 649, 65]",4369,4096,40897,25.23,,,,,,,,
"[17, 257, 4369, 4096, 41281, 38066, 3777]",4369,4096,41281,25.23,,,,,,,,
"[17, 257, 4369, 4096, 42433, 27194, 2625]",4369,4096,42433,25.23,,,,,,,,
"[17, 257, 4369, 4096, 42689, 24690, 2369]",4369,4096,42689,25.23,,,,,,,,
"[17, 257, 4369, 4096, 43201, 19586, 1857]",4369,4096,43201,25.23,,,,,,,,
"[17, 257, 4369, 4096, 43457, 16986, 1601]",4369,4096,43457,25.23,,,,,,,,
"[17, 257, 4369, 4096, 43969, 11690, 1089]",4369,4096,43969,25.23,,,,,,,,
"[17, 257, 4369, 4096, 45121, 44427, 4033]",4369,4096,45121,25.23,,,,,,,,
"[17, 257, 4369, 4096, 45377, 41843, 3777]",4369,4096,45377,25.23,,,,,,,,
"[17, 257, 4369, 4096, 46273, 32547, 2881]",4369,4096,46273,25.23,,,,,,,,
"[17, 257, 4369, 4096, 47041, 24267, 2113]",4369,4096,47041,25.23,,,,,,,,
"[17, 257, 4369, 4096, 47297, 21443, 1857]",4369,4096,47297,25.23,,,,,,,,
"[17, 257, 4369, 4096, 47681, 17147, 1473]",4369,4096,47681,25.23,,,,,,,,
"[17, 257, 4369, 4096, 47809, 15699, 1345]",4369,4096,47809,25.23,,,,,,,,
"[17, 257, 4369, 4096, 48193, 11307, 961]",4369,4096,48193,25.23,,,,,,,,
"[17, 257, 4369, 4096, 48449, 8339, 705]",4369,4096,48449,25.23,,,,,,,,
"[17, 257, 4369, 4096, 50497, 33940, 2753]",4369,4096,50497,25.23,,,,,,,,
"[17, 257, 4369, 4096, 50753, 30940, 2497]",4369,4096,50753,25.23,,,,,,,,
"[17, 257, 4369, 4096, 51137, 26380, 2113]",4369,4096,51137,25.23,,,,,,,,
"[17, 257, 4369, 4096, 51521, 21748, 1729]",4369,4096,51521,25.23,,,,,,,,
"[17, 257, 4369, 4096, 52289, 12268, 961]",4369,4096,52289,25.23,,,,,,,,
"[17, 257, 4369, 4096, 52673, 7420, 577]",4369,4096,52673,25.23,,,,,,,,
"[17, 257, 4369, 4096, 53441, 50949, 3905]",4369,4096,53441,25.23,,,,,,,,
"[17, 257, 4369, 4096, 53569, 49397, 3777]",4369,4096,53569,25.23,,,,,,,,
"[17, 257, 4369, 4096, 54721, 35069, 2625]",4369,4096,54721,25.23,,,,,,,,
"[17, 257, 4369, 4096, 56897, 6237, 449]",4369,4096,56897,25.23,,,,,,,,
"[17, 257, 4369, 4096, 57793, 51486, 3649]",4369,4096,57793,25.23,,,,,,,,
"[17, 257, 4369, 4096, 58049, 48086, 3393]",4369,4096,58049,25.23,,,,,,,,
"[17, 257, 4369, 4096, 60353, 16046, 1089]",4369,4096,60353,25.23,,,,,,,,
"[17, 257, 4369, 4096, 60737, 10454, 705]",4369,4096,60737,25.23,,,,,,,,
"[17, 257, 4369, 4096, 61121, 4790, 321]",4369,4096,61121,25.23,,,,,,,,
"[17, 257, 4369, 4096, 62017, 53311, 3521]",4369,4096,62017,25.23,,,,,,,,
"[17, 257, 4369, 4096, 62273, 49639, 3265]",4369,4096,62273,25.23,,,,,,,,
"[17, 257, 4369, 4096, 62401, 47791, 3137]",4369,4096,62401,25.23,,,,,,,,
"[17, 257, 4369, 4096, 63809, 26935, 1729]",4369,4096,63809,25.23,,,,,,,,
"[17, 257, 4369, 4096, 64577, 15151, 961]",4369,4096,64577,25.23,,,,,,,,
"[17, 257, 4369, 4096, 65089, 7135, 449]",4369,4096,65089,25.23,,,,,,,,
"[17, 257, 4369, 4096, 97, 22, 929]",4369,4096,97,12.77,,,,,,,,
"[17, 257, 4369, 4096, 353, 58, 673]",4369,4096,353,12.77,,,,,,,,
"[17, 257, 4369, 4096, 673, 58, 353]",4369,4096,673,12.77,,,,,,,,
"[17, 257, 4369, 4096, 929, 22, 97]",4369,4096,929,12.77,,,,,,,,
"[17, 257, 4369, 4096, 1249, 1181, 3873]",4369,4096,1249,12.77,,,,,,,,
"[17, 257, 4369, 4096, 1697, 1419, 3425]",4369,4096,1697,12.77,,,,,,,,
"[17, 257, 4369, 4096, 1889, 1491, 3233]",4369,4096,1889,12.77,,,,,,,,
"[17, 257, 4369, 4096, 2017, 1529, 3105]",4369,4096,2017,12.77,,,,,,,,
"[17, 257, 4369, 4096, 2081, 1545, 3041]",4369,4096,2081,12.77,,,,,,,,
"[17, 257, 4369, 4096, 2273, 1581, 2849]",4369,4096,2273,12.77,,,,,,,,
"[17, 257, 4369, 4096, 2593, 1601, 2529]",4369,4096,2593,12.77,,,,,,,,
"[17, 257, 4369, 4096, 2657, 1599, 2465]",4369,4096,2657,12.77,,,,,,,,
"[17, 257, 4369, 4096, 3041, 1545, 2081]",4369,4096,3041,12.77,,,,,,,,
"[17, 257, 4369, 4096, 3169, 1511, 1953]",4369,4096,3169,12.77,,,,,,,,
"[17, 257, 4369, 4096, 3361, 1445, 1761]",4369,4096,3361,12.77,,,,,,,,
"[17, 257, 4369, 4096, 3617, 1329, 1505]",4369,4096,3617,12.77,,,,,,,,
"[17, 257, 4369, 4096, 4001, 1095, 1121]",4369,4096,4001,12.77,,,,,,,,
"[17, 257, 4369, 4096, 4129, 1001, 993]",4369,4096,4129,12.77,,,,,,,,
"[17, 257, 4369, 4096, 4513, 671, 609]",4369,4096,4513,12.77,,,,,,,,
"[17, 257, 4369, 4096, 5153, 5114, 4065]",4369,4096,5153,12.77,,,,,,,,
"[17, 257, 4369, 4096, 5281, 5076, 3937]",4369,4096,5281,12.77,,,,,,,,
"[17, 257, 4369, 4096, 5857, 4806, 3361]",4369,4096,5857,12.77,,,,,,,,
"[17, 257, 4369, 4096, 6113, 4634, 3105]",4369,4096,6113,12.77,,,,,,,,
"[17, 257, 4369, 4096, 6689, 4130, 2529]",4369,4096,6689,12.77,,,,,,,,
"[17, 257, 4369, 4096, 7393, 3294, 1825]",4369,4096,7393,12.77,,,,,,,,
"[17, 257, 4369, 4096, 7457, 3206, 1761]",4369,4096,7457,12.77,,,,,,,,
"[17, 257, 4369, 4096, 7649, 2930, 1569]",4369,4096,7649,12.77,,,,,,,,
"[17, 257, 4369, 4096, 7841, 2636, 1377]",4369,4096,7841,12.77,,,,,,,,
"[17, 257, 4369, 4096, 8161, 2106, 1057]",4369,4096,8161,12.77,,,,,,,,
"[17, 257, 4369, 4096, 8353, 1764, 865]",4369,4096,8353,12.77,,,,,,,,
"[17, 257, 4369, 4096, 8609, 1280, 609]",4369,4096,8609,12.77,,,,,,,,
"[17, 257, 4369, 4096, 8737, 1026, 481]",4369,4096,8737,12.77,,,,,,,,
"[17, 257, 4369, 4096, 8929, 630, 289]",4369,4096,8929,12.77,,,,,,,,
"[17, 257, 4369, 4096, 9377, 9013, 3937]",4369,4096,9377,12.77,,,,,,,,
"[17, 257, 4369, 4096, 9697, 8563, 3617]",4369,4096,9697,12.77,,,,,,,,
"[17, 257, 4369, 4096, 10273, 7627, 3041]",4369,4096,10273,12.77,,,,,,,,
"[17, 257, 4369, 4096, 10337, 7513, 2977]",4369,4096,10337,12.77,,,,,,,,
"[17, 257, 4369, 4096, 10529, 7159, 2785]",4369,4096,10529,12.77,,,,,,,,
"[17, 257, 4369, 4096, 10657, 6913, 2657]",4369,4096,10657,12.77,,,,,,,,
"[17, 257, 4369, 4096, 11489, 5119, 1825]",4369,4096,11489,12.77,,,,,,,,
"[17, 257, 4369, 4096, 11617, 4813, 1697]",4369,4096,11617,12.77,,,,,,,,
"[17, 257, 4369, 4096, 11681, 4657, 1633]",4369,4096,11681,12.77,,,,,,,,
"[17, 257, 4369, 4096, 12577, 2263, 737]",4369,4096,12577,12.77,,,,,,,,
"[17, 257, 4369, 4096, 12641, 2077, 673]",4369,4096,12641,12.77,,,,,,,,
"[17, 257, 4369, 4096, 13217, 313, 97]",4369,4096,13217,12.77,,,,,,,,
"[17, 257, 4369, 4096, 13537, 12800, 3873]",4369,4096,13537,12.77,,,,,,,,
"[17, 257, 4369, 4096, 13729, 12338, 3681]",4369,4096,13729,12.77,,,,,,,,
"[17, 257, 4369, 4096, 13921, 11858, 3489]",4369,4096,13921,12.77,,,,,,,,
"[17, 257, 4369, 4096, 14177, 11190, 3233]",4369,4096,14177,12.77,,,,,,,,
"[17, 257, 4369, 4096, 14369, 10668, 3041]",4369,4096,14369,12.77,,,,,,,,
"[17, 257, 4369, 4096, 14561, 10128, 2849]",4369,4096,14561,12.77,,,,,,,,
"[17, 257, 4369, 4096, 14753, 9570, 2657]",4369,4096,14753,12.77,,,,,,,,
"[17, 257, 4369, 4096, 15073, 8600, 2337]",4369,4096,15073,12.77,,,,,,,,
"[17, 257, 4369, 4096, 15137, 8400, 2273]",4369,4096,15137,12.77,,,,,,,,
"[17, 257, 4369, 4096, 15329, 7788, 2081]",4369,4096,15329,12.77,,,,,,,,
"[17, 257, 4369, 4096, 15649, 6728, 1761]",4369,4096,15649,12.77,,,,,,,,
"[17, 257, 4369, 4096, 16033, 5390, 1377]",4369,4096,16033,12.77,,,,,,,,
"[17, 257, 4369, 4096, 16097, 5160, 1313]",4369,4096,16097,12.77,,,,,,,,
"[17, 257, 4369, 4096, 16417, 3980, 993]",4369,4096,16417,12.77,,,,,,,,
"[17, 257, 4369, 4096, 16481, 3738, 929]",4369,4096,16481,12.77,,,,,,,,
"[17, 257, 4369, 4096, 16673, 3000, 737]",4369,4096,16673,12.77,,,,,,,,
"[17, 257, 4369, 4096, 16993, 1730, 417]",4369,4096,16993,12.77,,,,,,,,
"[17, 257, 4369, 4096, 17377, 140, 33]",4369,4096,17377,12.77,,,,,,,,
"[17, 257, 4369, 4096, 17569, 16887, 3937]",4369,4096,17569,12.77,,,,,,,,
"[17, 257, 4369, 4096, 17761, 16239, 3745]",4369,4096,17761,12.77,,,,,,,,
"[17, 257, 4369, 4096, 18401, 13949, 3105]",4369,4096,18401,12.77,,,,,,,,
"[17, 257, 4369, 4096, 18593, 13223, 2913]",4369,4096,18593,12.77,,,,,,,,
"[17, 257, 4369, 4096, 18913, 11973, 2593]",4369,4096,18913,12.77,,,,,,,,
"[17, 257, 4369, 4096, 19489, 9597, 2017]",4369,4096,19489,12.77,,,,,,,,
"[17, 257, 4369, 4096, 19553, 9323, 1953]",4369,4096,19553,12.77,,,,,,,,
"[17, 257, 4369, 4096, 19681, 8769, 1825]",4369,4096,19681,12.77,,,,,,,,
"[17, 257, 4369, 4096, 19937, 7637, 1569]",4369,4096,19937,12.77,,,,,,,,
"[17, 257, 4369, 4096, 20129, 6767, 1377]",4369,4096,20129,12.77,,,,,,,,
"[17, 257, 4369, 4096, 20641, 4359, 865]",4369,4096,20641,12.77,,,,,,,,
"[17, 257, 4369, 4096, 20897, 3107, 609]",4369,4096,20897,12.77,,,,,,,,
"[17, 257, 4369, 4096, 21089, 2147, 417]",4369,4096,21089,12.77,,,,,,,,
"[17, 257, 4369, 4096, 21601, 21100, 4001]",4369,4096,21601,12.77,,,,,,,,
