"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[457, 499, 228043, 227088, 56773, 42580, 170317]",228043,227088,56773,50
"[457, 499, 228043, 227088, 9463, 6703, 160855]",228043,227088,9463,25
"[457, 499, 228043, 227088, 28387, 17742, 141931]",228043,227088,28387,25
"[457, 499, 228043, 227088, 31541, 30665, 220781]",228043,227088,31541,6
"[457, 499, 228043, 227088, 1993, 507, 57769]",228043,227088,1993,5
"[457, 499, 228043, 227088, 11953, 5662, 107569]",228043,227088,11953,5
"[457, 499, 228043, 227088, 15937, 5592, 79681]",228043,227088,15937,5
"[457, 499, 228043, 227088, 17929, 15570, 197209]",228043,227088,17929,5
"[457, 499, 228043, 227088, 29881, 18086, 137449]",228043,227088,29881,5
"[457, 499, 228043, 227088, 31873, 12302, 87649]",228043,227088,31873,5
"[457, 499, 228043, 227088, 39841, 3495, 19921]",228043,227088,39841,5
"[457, 499, 228043, 227088, 45817, 34162, 169321]",228043,227088,45817,5
"[457, 499, 228043, 227088, 47809, 7549, 35857]",228043,227088,47809,5
"[457, 499, 228043, 227088, 49801, 15290, 69721]",228043,227088,49801,5
"[457, 499, 228043, 227088, 997, 258, 58765]",228043,227088,997,3
"[457, 499, 228043, 227088, 10957, 7545, 156373]",228043,227088,10957,3
"[457, 499, 228043, 227088, 22079, 16866, 173471]",228043,227088,22079,3
"[457, 499, 228043, 227088, 26893, 22293, 188245]",228043,227088,26893,3
"[457, 499, 228043, 227088, 32869, 21192, 146413]",228043,227088,32869,3
"[457, 499, 228043, 227088, 42829, 23481, 124501]",228043,227088,42829,3
"[457, 499, 228043, 227088, 60757, 9327, 34861]",228043,227088,60757,3
"[457, 499, 228043, 227088, 499, 58, 26395]",228043,227088,499,2
"[457, 499, 228043, 227088, 4483, 2330, 118027]",228043,227088,4483,2
"[457, 499, 228043, 227088, 5479, 3112, 128983]",228043,227088,5479,2
"[457, 499, 228043, 227088, 8467, 5589, 149899]",228043,227088,8467,2
"[457, 499, 228043, 227088, 10459, 10115, 219619]",228043,227088,10459,2
"[457, 499, 228043, 227088, 12451, 9311, 169819]",228043,227088,12451,2
"[457, 499, 228043, 227088, 15439, 8092, 119023]",228043,227088,15439,2
"[457, 499, 228043, 227088, 17431, 10818, 140935]",228043,227088,17431,2
"[457, 499, 228043, 227088, 18427, 13295, 163843]",228043,227088,18427,2
"[457, 499, 228043, 227088, 19423, 639, 7471]",228043,227088,19423,2
"[457, 499, 228043, 227088, 29383, 25968, 200695]",228043,227088,29383,2
"[457, 499, 228043, 227088, 32371, 923, 6475]",228043,227088,32371,2
"[457, 499, 228043, 227088, 39343, 12338, 71215]",228043,227088,39343,2
"[457, 499, 228043, 227088, 42331, 14946, 80179]",228043,227088,42331,2
"[457, 499, 228043, 227088, 45319, 41642, 208663]",228043,227088,45319,2
"[457, 499, 228043, 227088, 52291, 13417, 58267]",228043,227088,52291,2
"[457, 499, 228043, 227088, 57271, 49610, 196711]",228043,227088,57271,2
"[457, 499, 228043, 227088, 59263, 910, 3487]",228043,227088,59263,2
"[457, 499, 228043, 227088, 60259, 661, 2491]",228043,227088,60259,2
"[457, 499, 228043, 227088, 63247, 56451, 202687]",228043,227088,63247,2
"[457, 499, 228043, 227088, 65239, 26754, 93127]",228043,227088,65239,2
"[457, 499, 228043, 227088, 229, 146, 144781]",228043,227088,229,1
"[457, 499, 228043, 227088, 457, 379, 188329]",228043,227088,457,1
"[457, 499, 228043, 227088, 1597, 1124, 159829]",228043,227088,1597,1
"[457, 499, 228043, 227088, 2053, 1144, 126541]",228043,227088,2053,1
"[457, 499, 228043, 227088, 2281, 142, 14137]",228043,227088,2281,1
"[457, 499, 228043, 227088, 2657, 404, 34529]",228043,227088,2657,1
"[457, 499, 228043, 227088, 3877, 3624, 212269]",228043,227088,3877,1
"[457, 499, 228043, 227088, 4561, 403, 20065]",228043,227088,4561,1
"[457, 499, 228043, 227088, 4649, 3847, 187913]",228043,227088,4649,1
"[457, 499, 228043, 227088, 4789, 2207, 104653]",228043,227088,4789,1
"[457, 499, 228043, 227088, 5701, 4665, 185821]",228043,227088,5701,1
"[457, 499, 228043, 227088, 6841, 2926, 97129]",228043,227088,6841,1
"[457, 499, 228043, 227088, 7069, 6338, 203605]",228043,227088,7069,1
"[457, 499, 228043, 227088, 7297, 381, 11857]",228043,227088,7297,1
"[457, 499, 228043, 227088, 7753, 5807, 170089]",228043,227088,7753,1
"[457, 499, 228043, 227088, 8209, 7220, 199729]",228043,227088,8209,1
"[457, 499, 228043, 227088, 8893, 2009, 51301]",228043,227088,8893,1
"[457, 499, 228043, 227088, 9349, 8401, 204061]",228043,227088,9349,1
"[457, 499, 228043, 227088, 11173, 9008, 183085]",228043,227088,11173,1
"[457, 499, 228043, 227088, 12541, 4747, 85957]",228043,227088,12541,1
"[457, 499, 228043, 227088, 13681, 4945, 82081]",228043,227088,13681,1
"[457, 499, 228043, 227088, 14593, 14007, 217969]",228043,227088,14593,1
"[457, 499, 228043, 227088, 14821, 12961, 198589]",228043,227088,14821,1
"[457, 499, 228043, 227088, 15277, 813, 12085]",228043,227088,15277,1
"[457, 499, 228043, 227088, 15733, 1943, 28045]",228043,227088,15733,1
"[457, 499, 228043, 227088, 16189, 2747, 38533]",228043,227088,16189,1
"[457, 499, 228043, 227088, 16417, 2967, 41041]",228043,227088,16417,1
"[457, 499, 228043, 227088, 18013, 13546, 170773]",228043,227088,18013,1
"[457, 499, 228043, 227088, 18593, 16201, 197873]",228043,227088,18593,1
"[457, 499, 228043, 227088, 19381, 14458, 169405]",228043,227088,19381,1
"[457, 499, 228043, 227088, 19609, 3032, 35113]",228043,227088,19609,1
"[457, 499, 228043, 227088, 20521, 12733, 140905]",228043,227088,20521,1
"[457, 499, 228043, 227088, 20749, 5354, 58597]",228043,227088,20749,1
"[457, 499, 228043, 227088, 21433, 7790, 82537]",228043,227088,21433,1
"[457, 499, 228043, 227088, 21661, 9156, 95989]",228043,227088,21661,1
"[457, 499, 228043, 227088, 22573, 748, 7525]",228043,227088,22573,1
"[457, 499, 228043, 227088, 23029, 19584, 193117]",228043,227088,23029,1
"[457, 499, 228043, 227088, 24169, 9658, 90745]",228043,227088,24169,1
"[457, 499, 228043, 227088, 25309, 7852, 70453]",228043,227088,25309,1
"[457, 499, 228043, 227088, 25537, 4205, 37393]",228043,227088,25537,1
"[457, 499, 228043, 227088, 26449, 425, 3649]",228043,227088,26449,1
"[457, 499, 228043, 227088, 26561, 20814, 177953]",228043,227088,26561,1
"[457, 499, 228043, 227088, 27361, 16153, 134065]",228043,227088,27361,1
"[457, 499, 228043, 227088, 27817, 3966, 32377]",228043,227088,27817,1
"[457, 499, 228043, 227088, 28729, 25787, 203833]",228043,227088,28729,1
"[457, 499, 228043, 227088, 29641, 21844, 167353]",228043,227088,29641,1
"[457, 499, 228043, 227088, 30097, 21757, 164161]",228043,227088,30097,1
"[457, 499, 228043, 227088, 30553, 675, 5017]",228043,227088,30553,1
"[457, 499, 228043, 227088, 30781, 29205, 215461]",228043,227088,30781,1
"[457, 499, 228043, 227088, 31237, 15650, 113773]",228043,227088,31237,1
"[457, 499, 228043, 227088, 32377, 3966, 27817]",228043,227088,32377,1
"[457, 499, 228043, 227088, 32537, 7516, 52457]",228043,227088,32537,1
"[457, 499, 228043, 227088, 32833, 24526, 169633]",228043,227088,32833,1
