"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[97, 353, 34241, 33792, 2113, 1981, 31681]",34241,33792,2113,100
"[97, 353, 34241, 33792, 3169, 2872, 30625]",34241,33792,3169,100
"[97, 353, 34241, 33792, 5281, 4456, 28513]",34241,33792,5281,100
"[97, 353, 34241, 33792, 6337, 5149, 27457]",34241,33792,6337,100
"[97, 353, 34241, 33792, 7393, 5776, 26401]",34241,33792,7393,100
"[97, 353, 34241, 33792, 11617, 7624, 22177]",34241,33792,11617,100
"[97, 353, 34241, 33792, 13729, 8152, 20065]",34241,33792,13729,100
"[97, 353, 34241, 33792, 19009, 8317, 14785]",34241,33792,19009,100
"[97, 353, 34241, 33792, 21121, 7921, 12673]",34241,33792,21121,100
"[97, 353, 34241, 33792, 27457, 5149, 6337]",34241,33792,27457,100
"[97, 353, 34241, 33792, 28513, 4456, 5281]",34241,33792,28513,100
"[97, 353, 34241, 33792, 29569, 3697, 4225]",34241,33792,29569,100
"[97, 353, 34241, 33792, 34849, 33761, 32737]",34241,33792,34849,100
"[97, 353, 34241, 33792, 40129, 32606, 27457]",34241,33792,40129,100
"[97, 353, 34241, 33792, 47521, 28217, 20065]",34241,33792,47521,100
"[97, 353, 34241, 33792, 49633, 26369, 17953]",34241,33792,49633,100
"[97, 353, 34241, 33792, 53857, 21881, 13729]",34241,33792,53857,100
"[97, 353, 34241, 33792, 63361, 7922, 4225]",34241,33792,63361,100
"[97, 353, 34241, 33792, 353, 114, 10913]",34241,33792,353,34
"[97, 353, 34241, 33792, 1409, 411, 9857]",34241,33792,1409,34
"[97, 353, 34241, 33792, 6689, 906, 4577]",34241,33792,6689,34
"[97, 353, 34241, 33792, 9857, 411, 1409]",34241,33792,9857,34
"[97, 353, 34241, 33792, 11969, 11720, 33089]",34241,33792,11969,34
"[97, 353, 34241, 33792, 14081, 12908, 30977]",34241,33792,14081,34
"[97, 353, 34241, 33792, 15137, 13403, 29921]",34241,33792,15137,34
"[97, 353, 34241, 33792, 16193, 13832, 28865]",34241,33792,16193,34
"[97, 353, 34241, 33792, 27809, 14195, 17249]",34241,33792,27809,34
"[97, 353, 34241, 33792, 29921, 13403, 15137]",34241,33792,29921,34
"[97, 353, 34241, 33792, 30977, 12908, 14081]",34241,33792,30977,34
"[97, 353, 34241, 33792, 35201, 10268, 9857]",34241,33792,35201,34
"[97, 353, 34241, 33792, 37313, 8552, 7745]",34241,33792,37313,34
"[97, 353, 34241, 33792, 43649, 1820, 1409]",34241,33792,43649,34
"[97, 353, 34241, 33792, 46817, 44380, 32033]",34241,33792,46817,34
"[97, 353, 34241, 33792, 3697, 520, 4753]",34241,33792,3697,25
"[97, 353, 34241, 33792, 15313, 12203, 26929]",34241,33792,15313,25
"[97, 353, 34241, 33792, 16369, 12533, 25873]",34241,33792,16369,25
"[97, 353, 34241, 33792, 18481, 12995, 23761]",34241,33792,18481,25
