"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[173, 193, 33389, 33024, 41281, 30962, 24769]",33389,33024,41281,100
"[173, 193, 33389, 33024, 49537, 24770, 16513]",33389,33024,49537,100
"[173, 193, 33389, 33024, 57793, 14450, 8257]",33389,33024,57793,100
"[173, 193, 33389, 33024, 4129, 3613, 28897]",33389,33024,4129,50
"[173, 193, 33389, 33024, 20641, 7741, 12385]",33389,33024,20641,50
"[173, 193, 33389, 33024, 2753, 1606, 19265]",33389,33024,2753,34
"[173, 193, 33389, 33024, 52289, 4359, 2753]",33389,33024,52289,34
"[173, 193, 33389, 33024, 10321, 7096, 22705]",33389,33024,10321,25
"[173, 193, 33389, 33024, 14449, 8128, 18577]",33389,33024,14449,25
"[173, 193, 33389, 33024, 26833, 5032, 6193]",33389,33024,26833,25
"[173, 193, 33389, 33024, 35089, 32897, 30961]",33389,33024,35089,25
"[173, 193, 33389, 33024, 39217, 31865, 26833]",33389,33024,39217,25
"[173, 193, 33389, 33024, 15137, 3154, 6881]",33389,33024,15137,17
"[173, 193, 33389, 33024, 31649, 22419, 23393]",33389,33024,31649,17
"[173, 193, 33389, 33024, 56417, 54068, 31649]",33389,33024,56417,17
"[173, 193, 33389, 33024, 1033, 226, 7225]",33389,33024,1033,13
"[173, 193, 33389, 33024, 11353, 10289, 29929]",33389,33024,11353,13
"[173, 193, 33389, 33024, 13417, 11321, 27865]",33389,33024,13417,13
"[173, 193, 33389, 33024, 19609, 12869, 21673]",33389,33024,19609,13
"[173, 193, 33389, 33024, 21673, 12869, 19609]",33389,33024,21673,13
"[173, 193, 33389, 33024, 25801, 12095, 15481]",33389,33024,25801,13
"[173, 193, 33389, 33024, 34057, 7451, 7225]",33389,33024,34057,13
"[173, 193, 33389, 33024, 46441, 39186, 27865]",33389,33024,46441,13
"[173, 193, 33389, 33024, 60889, 24738, 13417]",33389,33024,60889,13
"[173, 193, 33389, 33024, 4817, 2509, 17201]",33389,33024,4817,9
"[173, 193, 33389, 33024, 25457, 22806, 29585]",33389,33024,25457,9
"[173, 193, 33389, 33024, 33713, 21774, 21329]",33389,33024,33713,9
"[173, 193, 33389, 33024, 41969, 16614, 13073]",33389,33024,41969,9
"[173, 193, 33389, 33024, 58481, 52391, 29585]",33389,33024,58481,9
"[173, 193, 33389, 33024, 1549, 1186, 25285]",33389,33024,1549,7
"[173, 193, 33389, 33024, 3613, 734, 6709]",33389,33024,3613,7
"[173, 193, 33389, 33024, 6709, 734, 3613]",33389,33024,6709,7
"[173, 193, 33389, 33024, 7741, 605, 2581]",33389,33024,7741,7
"[173, 193, 33389, 33024, 10837, 10668, 32509]",33389,33024,10837,7
"[173, 193, 33389, 33024, 13933, 5443, 12901]",33389,33024,13933,7
"[173, 193, 33389, 33024, 17029, 5056, 9805]",33389,33024,17029,7
"[173, 193, 33389, 33024, 18061, 4798, 8773]",33389,33024,18061,7
"[173, 193, 33389, 33024, 21157, 3637, 5677]",33389,33024,21157,7
"[173, 193, 33389, 33024, 22189, 3121, 4645]",33389,33024,22189,7
"[173, 193, 33389, 33024, 26317, 412, 517]",33389,33024,26317,7
"[173, 193, 33389, 33024, 31477, 11313, 11869]",33389,33024,31477,7
"[173, 193, 33389, 33024, 36637, 7443, 6709]",33389,33024,36637,7
"[173, 193, 33389, 33024, 39733, 4347, 3613]",33389,33024,39733,7
"[173, 193, 33389, 33024, 42829, 22085, 17029]",33389,33024,42829,7
"[173, 193, 33389, 33024, 44893, 42790, 31477]",33389,33024,44893,7
"[173, 193, 33389, 33024, 46957, 18344, 12901]",33389,33024,46957,7
"[173, 193, 33389, 33024, 50053, 14861, 9805]",33389,33024,50053,7
"[173, 193, 33389, 33024, 53149, 37372, 23221]",33389,33024,53149,7
"[173, 193, 33389, 33024, 54181, 9314, 5677]",33389,33024,54181,7
"[173, 193, 33389, 33024, 55213, 7766, 4645]",33389,33024,55213,7
"[173, 193, 33389, 33024, 58309, 2735, 1549]",33389,33024,58309,7
"[173, 193, 33389, 33024, 59341, 929, 517]",33389,33024,59341,7
"[173, 193, 33389, 33024, 60373, 29245, 15997]",33389,33024,60373,7
"[173, 193, 33389, 33024, 1721, 1488, 28553]",33389,33024,1721,5
"[173, 193, 33389, 33024, 5849, 4326, 24425]",33389,33024,5849,5
"[173, 193, 33389, 33024, 12041, 6648, 18233]",33389,33024,12041,5
"[173, 193, 33389, 33024, 18233, 6648, 12041]",33389,33024,18233,5
"[173, 193, 33389, 33024, 20297, 6132, 9977]",33389,33024,20297,5
"[173, 193, 33389, 33024, 26489, 3036, 3785]",33389,33024,26489,5
"[173, 193, 33389, 33024, 36809, 29525, 26489]",33389,33024,36809,5
"[173, 193, 33389, 33024, 38873, 28751, 24425]",33389,33024,38873,5
"[173, 193, 33389, 33024, 47129, 23075, 16169]",33389,33024,47129,5
"[173, 193, 33389, 33024, 49193, 21011, 14105]",33389,33024,49193,5
"[173, 193, 33389, 33024, 51257, 18689, 12041]",33389,33024,51257,5
"[173, 193, 33389, 33024, 59513, 6821, 3785]",33389,33024,59513,5
"[173, 193, 33389, 33024, 173, 82, 15653]",33389,33024,173,3
"[173, 193, 33389, 33024, 193, 147, 25153]",33389,33024,193,3
"[173, 193, 33389, 33024, 577, 312, 17857]",33389,33024,577,3
"[173, 193, 33389, 33024, 769, 465, 19969]",33389,33024,769,3
"[173, 193, 33389, 33024, 1153, 1086, 31105]",33389,33024,1153,3
"[173, 193, 33389, 33024, 2113, 946, 14785]",33389,33024,2113,3
"[173, 193, 33389, 33024, 2237, 2039, 30101]",33389,33024,2237,3
"[173, 193, 33389, 33024, 2689, 2095, 25729]",33389,33024,2689,3
"[173, 193, 33389, 33024, 3457, 1809, 17281]",33389,33024,3457,3
"[173, 193, 33389, 33024, 4801, 1647, 11329]",33389,33024,4801,3
"[173, 193, 33389, 33024, 4993, 2845, 18817]",33389,33024,4993,3
"[173, 193, 33389, 33024, 5333, 4361, 27005]",33389,33024,5333,3
"[173, 193, 33389, 33024, 5569, 2299, 13633]",33389,33024,5569,3
"[173, 193, 33389, 33024, 5953, 727, 4033]",33389,33024,5953,3
"[173, 193, 33389, 33024, 6337, 4974, 25921]",33389,33024,6337,3
"[173, 193, 33389, 33024, 6529, 2050, 10369]",33389,33024,6529,3
"[173, 193, 33389, 33024, 7297, 5176, 23425]",33389,33024,7297,3
"[173, 193, 33389, 33024, 7489, 4572, 20161]",33389,33024,7489,3
"[173, 193, 33389, 33024, 7681, 1072, 4609]",33389,33024,7681,3
"[173, 193, 33389, 33024, 7873, 6912, 28993]",33389,33024,7873,3
"[173, 193, 33389, 33024, 8429, 1888, 7397]",33389,33024,8429,3
"[173, 193, 33389, 33024, 8641, 4371, 16705]",33389,33024,8641,3
"[173, 193, 33389, 33024, 9461, 6554, 22877]",33389,33024,9461,3
"[173, 193, 33389, 33024, 9601, 2568, 8833]",33389,33024,9601,3
"[173, 193, 33389, 33024, 10177, 5858, 19009]",33389,33024,10177,3
"[173, 193, 33389, 33024, 10369, 2050, 6529]",33389,33024,10369,3
"[173, 193, 33389, 33024, 10753, 6002, 18433]",33389,33024,10753,3
"[173, 193, 33389, 33024, 11329, 1647, 4801]",33389,33024,11329,3
"[173, 193, 33389, 33024, 12097, 1196, 3265]",33389,33024,12097,3
"[173, 193, 33389, 33024, 12289, 11432, 30721]",33389,33024,12289,3
"[173, 193, 33389, 33024, 13249, 4237, 10561]",33389,33024,13249,3
"[173, 193, 33389, 33024, 13441, 5158, 12673]",33389,33024,13441,3
"[173, 193, 33389, 33024, 13633, 2299, 5569]",33389,33024,13633,3
"[173, 193, 33389, 33024, 14401, 11471, 26305]",33389,33024,14401,3
"[173, 193, 33389, 33024, 14593, 7806, 17665]",33389,33024,14593,3
"[173, 193, 33389, 33024, 14621, 7844, 17717]",33389,33024,14621,3
"[173, 193, 33389, 33024, 15361, 14647, 31489]",33389,33024,15361,3
"[173, 193, 33389, 33024, 15937, 14177, 29377]",33389,33024,15937,3
"[173, 193, 33389, 33024, 18049, 12383, 22657]",33389,33024,18049,3
"[173, 193, 33389, 33024, 18433, 6002, 10753]",33389,33024,18433,3
"[173, 193, 33389, 33024, 18749, 7715, 13589]",33389,33024,18749,3
"[173, 193, 33389, 33024, 19009, 5858, 10177]",33389,33024,19009,3
