"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[53, 73, 3869, 3744, 937, 703, 2809]",3869,3744,937,100
"[53, 73, 3869, 3744, 1873, 937, 1873]",3869,3744,1873,100
"[53, 73, 3869, 3744, 6553, 1640, 937]",3869,3744,6553,100
"[53, 73, 3869, 3744, 7489, 2, 1]",3869,3744,7489,100
"[53, 73, 3869, 3744, 15913, 11939, 2809]",3869,3744,15913,100
"[53, 73, 3869, 3744, 20593, 10302, 1873]",3869,3744,20593,100
"[53, 73, 3869, 3744, 21529, 5388, 937]",3869,3744,21529,100
"[53, 73, 3869, 3744, 24337, 12175, 1873]",3869,3744,24337,100
"[53, 73, 3869, 3744, 26209, 7, 1]",3869,3744,26209,100
"[53, 73, 3869, 3744, 28081, 14048, 1873]",3869,3744,28081,100
"[53, 73, 3869, 3744, 29017, 7262, 937]",3869,3744,29017,100
"[53, 73, 3869, 3744, 35569, 17794, 1873]",3869,3744,35569,100
"[53, 73, 3869, 3744, 37441, 10, 1]",3869,3744,37441,100
"[53, 73, 3869, 3744, 38377, 28793, 2809]",3869,3744,38377,100
"[53, 73, 3869, 3744, 39313, 19667, 1873]",3869,3744,39313,100
"[53, 73, 3869, 3744, 47737, 11947, 937]",3869,3744,47737,100
"[53, 73, 3869, 3744, 48673, 13, 1]",3869,3744,48673,100
"[53, 73, 3869, 3744, 51481, 12884, 937]",3869,3744,51481,100
"[53, 73, 3869, 3744, 53353, 40029, 2809]",3869,3744,53353,100
"[53, 73, 3869, 3744, 57097, 42838, 2809]",3869,3744,57097,100
"[53, 73, 3869, 3744, 63649, 17, 1]",3869,3744,63649,100
"[53, 73, 3869, 3744, 65521, 32778, 1873]",3869,3744,65521,100
"[53, 73, 3869, 3744, 2341, 2049, 3277]",3869,3744,2341,51
"[53, 73, 3869, 3744, 8893, 1114, 469]",3869,3744,8893,51
"[53, 73, 3869, 3744, 9829, 8603, 3277]",3869,3744,9829,51
"[53, 73, 3869, 3744, 11701, 4391, 1405]",3869,3744,11701,51
"[53, 73, 3869, 3744, 12637, 1583, 469]",3869,3744,12637,51
"[53, 73, 3869, 3744, 16381, 2052, 469]",3869,3744,16381,51
"[53, 73, 3869, 3744, 17317, 15157, 3277]",3869,3744,17317,51
"[53, 73, 3869, 3744, 18253, 11413, 2341]",3869,3744,18253,51
"[53, 73, 3869, 3744, 21061, 18434, 3277]",3869,3744,21061,51
"[53, 73, 3869, 3744, 21997, 13754, 2341]",3869,3744,21997,51
"[53, 73, 3869, 3744, 23869, 2990, 469]",3869,3744,23869,51
"[53, 73, 3869, 3744, 25741, 16095, 2341]",3869,3744,25741,51
"[53, 73, 3869, 3744, 28549, 24988, 3277]",3869,3744,28549,51
"[53, 73, 3869, 3744, 31357, 3928, 469]",3869,3744,31357,51
"[53, 73, 3869, 3744, 36037, 31542, 3277]",3869,3744,36037,51
"[53, 73, 3869, 3744, 36973, 23118, 2341]",3869,3744,36973,51
"[53, 73, 3869, 3744, 42589, 5335, 469]",3869,3744,42589,51
"[53, 73, 3869, 3744, 47269, 41373, 3277]",3869,3744,47269,51
"[53, 73, 3869, 3744, 50077, 6273, 469]",3869,3744,50077,51
"[53, 73, 3869, 3744, 51949, 32482, 2341]",3869,3744,51949,51
"[53, 73, 3869, 3744, 56629, 21251, 1405]",3869,3744,56629,51
"[53, 73, 3869, 3744, 60373, 22656, 1405]",3869,3744,60373,51
"[53, 73, 3869, 3744, 65053, 8149, 469]",3869,3744,65053,51
"[53, 73, 3869, 3744, 313, 287, 3433]",3869,3744,313,34
"[53, 73, 3869, 3744, 1249, 833, 2497]",3869,3744,1249,34
"[53, 73, 3869, 3744, 3121, 521, 625]",3869,3744,3121,34
"[53, 73, 3869, 3744, 3433, 287, 313]",3869,3744,3433,34
"[53, 73, 3869, 3744, 4057, 3720, 3433]",3869,3744,4057,34
"[53, 73, 3869, 3744, 4993, 3330, 2497]",3869,3744,4993,34
"[53, 73, 3869, 3744, 7177, 600, 313]",3869,3744,7177,34
"[53, 73, 3869, 3744, 8737, 5827, 2497]",3869,3744,8737,34
"[53, 73, 3869, 3744, 9049, 5281, 2185]",3869,3744,9049,34
"[53, 73, 3869, 3744, 13417, 5594, 1561]",3869,3744,13417,34
"[53, 73, 3869, 3744, 13729, 4580, 1249]",3869,3744,13729,34
"[53, 73, 3869, 3744, 15289, 14019, 3433]",3869,3744,15289,34
"[53, 73, 3869, 3744, 15601, 13005, 3121]",3869,3744,15601,34
"[53, 73, 3869, 3744, 18097, 3021, 625]",3869,3744,18097,34
"[53, 73, 3869, 3744, 21841, 3646, 625]",3869,3744,21841,34
"[53, 73, 3869, 3744, 22153, 1852, 313]",3869,3744,22153,34
"[53, 73, 3869, 3744, 22777, 20885, 3433]",3869,3744,22777,34
"[53, 73, 3869, 3744, 26833, 22368, 3121]",3869,3744,26833,34
"[53, 73, 3869, 3744, 27457, 18312, 2497]",3869,3744,27457,34
"[53, 73, 3869, 3744, 28393, 11838, 1561]",3869,3744,28393,34
"[53, 73, 3869, 3744, 29641, 2478, 313]",3869,3744,29641,34
"[53, 73, 3869, 3744, 30577, 25489, 3121]",3869,3744,30577,34
"[53, 73, 3869, 3744, 31513, 18391, 2185]",3869,3744,31513,34
"[53, 73, 3869, 3744, 33073, 5521, 625]",3869,3744,33073,34
"[53, 73, 3869, 3744, 35257, 20576, 2185]",3869,3744,35257,34
"[53, 73, 3869, 3744, 39937, 13323, 1249]",3869,3744,39937,34
"[53, 73, 3869, 3744, 41809, 34852, 3121]",3869,3744,41809,34
"[53, 73, 3869, 3744, 42433, 28300, 2497]",3869,3744,42433,34
"[53, 73, 3869, 3744, 44617, 3730, 313]",3869,3744,44617,34
"[53, 73, 3869, 3744, 45553, 37973, 3121]",3869,3744,45553,34
"[53, 73, 3869, 3744, 46489, 27131, 2185]",3869,3744,46489,34
"[53, 73, 3869, 3744, 48049, 8021, 625]",3869,3744,48049,34
"[53, 73, 3869, 3744, 49297, 41094, 3121]",3869,3744,49297,34
"[53, 73, 3869, 3744, 49921, 33294, 2497]",3869,3744,49921,34
"[53, 73, 3869, 3744, 50857, 21204, 1561]",3869,3744,50857,34
"[53, 73, 3869, 3744, 51169, 17070, 1249]",3869,3744,51169,34
"[53, 73, 3869, 3744, 54601, 22765, 1561]",3869,3744,54601,34
"[53, 73, 3869, 3744, 55849, 4669, 313]",3869,3744,55849,34
"[53, 73, 3869, 3744, 56473, 51782, 3433]",3869,3744,56473,34
"[53, 73, 3869, 3744, 58657, 19568, 1249]",3869,3744,58657,34
"[53, 73, 3869, 3744, 59281, 9896, 625]",3869,3744,59281,34
"[53, 73, 3869, 3744, 60217, 55215, 3433]",3869,3744,60217,34
"[53, 73, 3869, 3744, 61153, 40785, 2497]",3869,3744,61153,34
"[53, 73, 3869, 3744, 62401, 20817, 1249]",3869,3744,62401,34
"[53, 73, 3869, 3744, 63337, 5295, 313]",3869,3744,63337,34
"[53, 73, 3869, 3744, 157, 72, 1717]",3869,3744,157,18
"[53, 73, 3869, 3744, 1093, 228, 781]",3869,3744,1093,18
"[53, 73, 3869, 3744, 2029, 1945, 3589]",3869,3744,2029,18
"[53, 73, 3869, 3744, 6397, 5066, 2965]",3869,3744,6397,18
"[53, 73, 3869, 3744, 6709, 4754, 2653]",3869,3744,6709,18
"[53, 73, 3869, 3744, 7333, 3974, 2029]",3869,3744,7333,18
"[53, 73, 3869, 3744, 8269, 2414, 1093]",3869,3744,8269,18
"[53, 73, 3869, 3744, 8581, 1790, 781]",3869,3744,8581,18
"[53, 73, 3869, 3744, 10141, 8031, 2965]",3869,3744,10141,18
"[53, 73, 3869, 3744, 10453, 7407, 2653]",3869,3744,10453,18
"[53, 73, 3869, 3744, 14197, 10060, 2653]",3869,3744,14197,18
"[53, 73, 3869, 3744, 14821, 8032, 2029]",3869,3744,14821,18
"[53, 73, 3869, 3744, 16069, 3352, 781]",3869,3744,16069,18
"[53, 73, 3869, 3744, 16693, 700, 157]",3869,3744,16693,18
"[53, 73, 3869, 3744, 19501, 5693, 1093]",3869,3744,19501,18
"[53, 73, 3869, 3744, 19813, 4133, 781]",3869,3744,19813,18
"[53, 73, 3869, 3744, 20749, 19890, 3589]",3869,3744,20749,18
"[53, 73, 3869, 3744, 22621, 10374, 1717]",3869,3744,22621,18
"[53, 73, 3869, 3744, 23557, 4914, 781]",3869,3744,23557,18
"[53, 73, 3869, 3744, 24181, 1014, 157]",3869,3744,24181,18
"[53, 73, 3869, 3744, 25117, 19891, 2965]",3869,3744,25117,18
"[53, 73, 3869, 3744, 26053, 14119, 2029]",3869,3744,26053,18
"[53, 73, 3869, 3744, 29173, 20672, 2653]",3869,3744,29173,18
"[53, 73, 3869, 3744, 30109, 13808, 1717]",3869,3744,30109,18
"[53, 73, 3869, 3744, 31981, 30657, 3589]",3869,3744,31981,18
"[53, 73, 3869, 3744, 32917, 23325, 2653]",3869,3744,32917,18
"[53, 73, 3869, 3744, 39157, 1642, 157]",3869,3744,39157,18
"[53, 73, 3869, 3744, 40093, 31751, 2965]",3869,3744,40093,18
"[53, 73, 3869, 3744, 41341, 18959, 1717]",3869,3744,41341,18
"[53, 73, 3869, 3744, 42901, 1799, 157]",3869,3744,42901,18
"[53, 73, 3869, 3744, 44773, 24264, 2029]",3869,3744,44773,18
"[53, 73, 3869, 3744, 46021, 9600, 781]",3869,3744,46021,18
"[53, 73, 3869, 3744, 46957, 45013, 3589]",3869,3744,46957,18
"[53, 73, 3869, 3744, 47581, 37681, 2965]",3869,3744,47581,18
"[53, 73, 3869, 3744, 51637, 36590, 2653]",3869,3744,51637,18
"[53, 73, 3869, 3744, 53197, 15530, 1093]",3869,3744,53197,18
"[53, 73, 3869, 3744, 54133, 2270, 157]",3869,3744,54133,18
"[53, 73, 3869, 3744, 55381, 39243, 2653]",3869,3744,55381,18
"[53, 73, 3869, 3744, 56941, 16623, 1093]",3869,3744,56941,18
"[53, 73, 3869, 3744, 58189, 55780, 3589]",3869,3744,58189,18
"[53, 73, 3869, 3744, 61933, 59369, 3589]",3869,3744,61933,18
"[53, 73, 3869, 3744, 62869, 44549, 2653]",3869,3744,62869,18
"[53, 73, 3869, 3744, 63493, 34409, 2029]",3869,3744,63493,18
"[53, 73, 3869, 3744, 1171, 659, 2107]",3869,3744,1171,13
"[53, 73, 3869, 3744, 3511, 1537, 1639]",3869,3744,3511,13
"[53, 73, 3869, 3744, 4447, 835, 703]",3869,3744,4447,13
"[53, 73, 3869, 3744, 5851, 1830, 1171]",3869,3744,5851,13
"[53, 73, 3869, 3744, 7723, 6277, 3043]",3869,3744,7723,13
"[53, 73, 3869, 3744, 8191, 1538, 703]",3869,3744,8191,13
"[53, 73, 3869, 3744, 9127, 8559, 3511]",3869,3744,9127,13
"[53, 73, 3869, 3744, 10531, 661, 235]",3869,3744,10531,13
"[53, 73, 3869, 3744, 11467, 9320, 3043]",3869,3744,11467,13
"[53, 73, 3869, 3744, 13339, 4172, 1171]",3869,3744,13339,13
"[53, 73, 3869, 3744, 13807, 9496, 2575]",3869,3744,13807,13
"[53, 73, 3869, 3744, 15679, 2944, 703]",3869,3744,15679,13
"[53, 73, 3869, 3744, 17551, 12071, 2575]",3869,3744,17551,13
"[53, 73, 3869, 3744, 19423, 3647, 703]",3869,3744,19423,13
"[53, 73, 3869, 3744, 19891, 11194, 2107]",3869,3744,19891,13
"[53, 73, 3869, 3744, 20359, 19092, 3511]",3869,3744,20359,13
"[53, 73, 3869, 3744, 22699, 18449, 3043]",3869,3744,22699,13
"[53, 73, 3869, 3744, 23167, 4350, 703]",3869,3744,23167,13
"[53, 73, 3869, 3744, 24103, 22603, 3511]",3869,3744,24103,13
"[53, 73, 3869, 3744, 24571, 7685, 1171]",3869,3744,24571,13
"[53, 73, 3869, 3744, 27847, 26114, 3511]",3869,3744,27847,13
"[53, 73, 3869, 3744, 29251, 1836, 235]",3869,3744,29251,13
"[53, 73, 3869, 3744, 30187, 24535, 3043]",3869,3744,30187,13
"[53, 73, 3869, 3744, 31123, 17515, 2107]",3869,3744,31123,13
"[53, 73, 3869, 3744, 32059, 10027, 1171]",3869,3744,32059,13
"[53, 73, 3869, 3744, 33931, 27578, 3043]",3869,3744,33931,13
"[53, 73, 3869, 3744, 35803, 11198, 1171]",3869,3744,35803,13
"[53, 73, 3869, 3744, 36739, 2306, 235]",3869,3744,36739,13
"[53, 73, 3869, 3744, 38611, 21729, 2107]",3869,3744,38611,13
"[53, 73, 3869, 3744, 39079, 36647, 3511]",3869,3744,39079,13
"[53, 73, 3869, 3744, 40483, 2541, 235]",3869,3744,40483,13
"[53, 73, 3869, 3744, 41887, 7865, 703]",3869,3744,41887,13
"[53, 73, 3869, 3744, 43291, 13540, 1171]",3869,3744,43291,13
"[53, 73, 3869, 3744, 43759, 30096, 2575]",3869,3744,43759,13
"[53, 73, 3869, 3744, 45631, 8568, 703]",3869,3744,45631,13
"[53, 73, 3869, 3744, 46099, 25943, 2107]",3869,3744,46099,13
"[53, 73, 3869, 3744, 46567, 43669, 3511]",3869,3744,46567,13
"[53, 73, 3869, 3744, 48907, 39750, 3043]",3869,3744,48907,13
"[53, 73, 3869, 3744, 49843, 28050, 2107]",3869,3744,49843,13
"[53, 73, 3869, 3744, 50311, 47180, 3511]",3869,3744,50311,13
"[53, 73, 3869, 3744, 52183, 22844, 1639]",3869,3744,52183,13
"[53, 73, 3869, 3744, 55927, 24483, 1639]",3869,3744,55927,13
"[53, 73, 3869, 3744, 57331, 32264, 2107]",3869,3744,57331,13
"[53, 73, 3869, 3744, 59671, 26122, 1639]",3869,3744,59671,13
"[53, 73, 3869, 3744, 60139, 48879, 3043]",3869,3744,60139,13
"[53, 73, 3869, 3744, 60607, 11380, 703]",3869,3744,60607,13
"[53, 73, 3869, 3744, 61543, 57713, 3511]",3869,3744,61543,13
"[53, 73, 3869, 3744, 62011, 19395, 1171]",3869,3744,62011,13
"[53, 73, 3869, 3744, 65287, 61224, 3511]",3869,3744,65287,13
"[53, 73, 3869, 3744, 521, 333, 2393]",3869,3744,521,12
"[53, 73, 3869, 3744, 2081, 463, 833]",3869,3744,2081,12
"[53, 73, 3869, 3744, 2393, 333, 521]",3869,3744,2393,12
"[53, 73, 3869, 3744, 3329, 2960, 3329]",3869,3744,3329,12
"[53, 73, 3869, 3744, 4889, 2310, 1769]",3869,3744,4889,12
"[53, 73, 3869, 3744, 6449, 360, 209]",3869,3744,6449,12
"[53, 73, 3869, 3744, 6761, 6575, 3641]",3869,3744,6761,12
"[53, 73, 3869, 3744, 8009, 5119, 2393]",3869,3744,8009,12
"[53, 73, 3869, 3744, 9257, 2831, 1145]",3869,3744,9257,12
"[53, 73, 3869, 3744, 10193, 569, 209]",3869,3744,10193,12
"[53, 73, 3869, 3744, 12377, 5848, 1769]",3869,3744,12377,12
"[53, 73, 3869, 3744, 12689, 4938, 1457]",3869,3744,12689,12
"[53, 73, 3869, 3744, 13001, 3976, 1145]",3869,3744,13001,12
"[53, 73, 3869, 3744, 13313, 2962, 833]",3869,3744,13313,12
"[53, 73, 3869, 3744, 14249, 13857, 3641]",3869,3744,14249,12
"[53, 73, 3869, 3744, 14561, 12947, 3329]",3869,3744,14561,12
"[53, 73, 3869, 3744, 15497, 9905, 2393]",3869,3744,15497,12
"[53, 73, 3869, 3744, 15809, 8787, 2081]",3869,3744,15809,12
"[53, 73, 3869, 3744, 16433, 6395, 1457]",3869,3744,16433,12
"[53, 73, 3869, 3744, 17681, 987, 209]",3869,3744,17681,12
"[53, 73, 3869, 3744, 18617, 15002, 3017]",3869,3744,18617,12
"[53, 73, 3869, 3744, 19553, 10868, 2081]",3869,3744,19553,12
"[53, 73, 3869, 3744, 20177, 7852, 1457]",3869,3744,20177,12
"[53, 73, 3869, 3744, 21737, 21139, 3641]",3869,3744,21737,12
"[53, 73, 3869, 3744, 23297, 12949, 2081]",3869,3744,23297,12
"[53, 73, 3869, 3744, 23609, 11155, 1769]",3869,3744,23609,12
"[53, 73, 3869, 3744, 25169, 1405, 209]",3869,3744,25169,12
"[53, 73, 3869, 3744, 25793, 22934, 3329]",3869,3744,25793,12
"[53, 73, 3869, 3744, 26417, 19086, 2705]",3869,3744,26417,12
"[53, 73, 3869, 3744, 26729, 17084, 2393]",3869,3744,26729,12
"[53, 73, 3869, 3744, 28289, 6294, 833]",3869,3744,28289,12
"[53, 73, 3869, 3744, 29537, 26263, 3329]",3869,3744,29537,12
"[53, 73, 3869, 3744, 30161, 21791, 2705]",3869,3744,30161,12
"[53, 73, 3869, 3744, 31721, 9701, 1145]",3869,3744,31721,12
"[53, 73, 3869, 3744, 32969, 32062, 3641]",3869,3744,32969,12
"[53, 73, 3869, 3744, 34217, 21870, 2393]",3869,3744,34217,12
"[53, 73, 3869, 3744, 34841, 16462, 1769]",3869,3744,34841,12
"[53, 73, 3869, 3744, 35153, 13680, 1457]",3869,3744,35153,12
"[53, 73, 3869, 3744, 36713, 35703, 3641]",3869,3744,36713,12
"[53, 73, 3869, 3744, 37337, 30087, 3017]",3869,3744,37337,12
"[53, 73, 3869, 3744, 37649, 27201, 2705]",3869,3744,37649,12
"[53, 73, 3869, 3744, 38273, 21273, 2081]",3869,3744,38273,12
"[53, 73, 3869, 3744, 39209, 11991, 1145]",3869,3744,39209,12
"[53, 73, 3869, 3744, 39521, 8793, 833]",3869,3744,39521,12
"[53, 73, 3869, 3744, 41081, 33104, 3017]",3869,3744,41081,12
"[53, 73, 3869, 3744, 42017, 23354, 2081]",3869,3744,42017,12
"[53, 73, 3869, 3744, 42641, 16594, 1457]",3869,3744,42641,12
"[53, 73, 3869, 3744, 42953, 13136, 1145]",3869,3744,42953,12
"[53, 73, 3869, 3744, 43577, 6064, 521]",3869,3744,43577,12
"[53, 73, 3869, 3744, 43889, 2450, 209]",3869,3744,43889,12
"[53, 73, 3869, 3744, 44201, 42985, 3641]",3869,3744,44201,12
"[53, 73, 3869, 3744, 45137, 32611, 2705]",3869,3744,45137,12
"[53, 73, 3869, 3744, 46073, 21769, 1769]",3869,3744,46073,12
"[53, 73, 3869, 3744, 49193, 31442, 2393]",3869,3744,49193,12
"[53, 73, 3869, 3744, 50129, 19508, 1457]",3869,3744,50129,12
"[53, 73, 3869, 3744, 50441, 15426, 1145]",3869,3744,50441,12
"[53, 73, 3869, 3744, 50753, 11292, 833]",3869,3744,50753,12
"[53, 73, 3869, 3744, 52313, 42155, 3017]",3869,3744,52313,12
"[53, 73, 3869, 3744, 52937, 33835, 2393]",3869,3744,52937,12
"[53, 73, 3869, 3744, 54497, 12125, 833]",3869,3744,54497,12
"[53, 73, 3869, 3744, 56369, 40726, 2705]",3869,3744,56369,12
"[53, 73, 3869, 3744, 56681, 36228, 2393]",3869,3744,56681,12
"[53, 73, 3869, 3744, 56993, 31678, 2081]",3869,3744,56993,12
"[53, 73, 3869, 3744, 60737, 33759, 2081]",3869,3744,60737,12
"[53, 73, 3869, 3744, 61673, 18861, 1145]",3869,3744,61673,12
"[53, 73, 3869, 3744, 62297, 8669, 521]",3869,3744,62297,12
"[53, 73, 3869, 3744, 62921, 61190, 3641]",3869,3744,62921,12
"[53, 73, 3869, 3744, 63857, 46136, 2705]",3869,3744,63857,12
"[53, 73, 3869, 3744, 64793, 30614, 1769]",3869,3744,64793,12
"[53, 73, 3869, 3744, 73, 66, 3385]",3869,3744,73,9
"[53, 73, 3869, 3744, 433, 150, 1297]",3869,3744,433,9
"[53, 73, 3869, 3744, 577, 444, 2881]",3869,3744,577,9
"[53, 73, 3869, 3744, 1009, 660, 2449]",3869,3744,1009,9
"[53, 73, 3869, 3744, 1153, 89, 289]",3869,3744,1153,9
"[53, 73, 3869, 3744, 1297, 150, 433]",3869,3744,1297,9
"[53, 73, 3869, 3744, 1657, 1052, 2377]",3869,3744,1657,9
"[53, 73, 3869, 3744, 1801, 520, 1081]",3869,3744,1801,9
"[53, 73, 3869, 3744, 2017, 466, 865]",3869,3744,2017,9
"[53, 73, 3869, 3744, 2089, 1728, 3097]",3869,3744,2089,9
"[53, 73, 3869, 3744, 2161, 1746, 3025]",3869,3744,2161,9
"[53, 73, 3869, 3744, 2377, 1052, 1657]",3869,3744,2377,9
"[53, 73, 3869, 3744, 2521, 437, 649]",3869,3744,2521,9
"[53, 73, 3869, 3744, 2593, 998, 1441]",3869,3744,2593,9
"[53, 73, 3869, 3744, 2953, 2897, 3673]",3869,3744,2953,9
"[53, 73, 3869, 3744, 3169, 1951, 2305]",3869,3744,3169,9
"[53, 73, 3869, 3744, 3313, 638, 721]",3869,3744,3313,9
"[53, 73, 3869, 3744, 3457, 3192, 3457]",3869,3744,3457,9
"[53, 73, 3869, 3744, 3529, 476, 505]",3869,3744,3529,9
"[53, 73, 3869, 3744, 3673, 2897, 2953]",3869,3744,3673,9
"[53, 73, 3869, 3744, 3889, 2843, 2737]",3869,3744,3889,9
"[53, 73, 3869, 3744, 4177, 1447, 1297]",3869,3744,4177,9
"[53, 73, 3869, 3744, 4969, 288, 217]",3869,3744,4969,9
"[53, 73, 3869, 3744, 5113, 493, 361]",3869,3744,5113,9
"[53, 73, 3869, 3744, 5689, 2299, 1513]",3869,3744,5689,9
"[53, 73, 3869, 3744, 6121, 2709, 1657]",3869,3744,6121,9
"[53, 73, 3869, 3744, 6337, 2439, 1441]",3869,3744,6337,9
"[53, 73, 3869, 3744, 6481, 251, 145]",3869,3744,6481,9
"[53, 73, 3869, 3744, 6841, 3817, 2089]",3869,3744,6841,9
"[53, 73, 3869, 3744, 7057, 1359, 721]",3869,3744,7057,9
"[53, 73, 3869, 3744, 7129, 139, 73]",3869,3744,7129,9
"[53, 73, 3869, 3744, 7417, 5850, 2953]",3869,3744,7417,9
"[53, 73, 3869, 3744, 7561, 6836, 3385]",3869,3744,7561,9
"[53, 73, 3869, 3744, 7993, 7534, 3529]",3869,3744,7993,9
"[53, 73, 3869, 3744, 8209, 7264, 3313]",3869,3744,8209,9
"[53, 73, 3869, 3744, 8353, 4500, 2017]",3869,3744,8353,9
"[53, 73, 3869, 3744, 8641, 667, 289]",3869,3744,8641,9
"[53, 73, 3869, 3744, 8713, 505, 217]",3869,3744,8713,9
"[53, 73, 3869, 3744, 8929, 6184, 2593]",3869,3744,8929,9
"[53, 73, 3869, 3744, 9001, 4676, 1945]",3869,3744,9001,9
"[53, 73, 3869, 3744, 9433, 3812, 1513]",3869,3744,9433,9
"[53, 73, 3869, 3744, 9649, 7796, 3025]",3869,3744,9649,9
"[53, 73, 3869, 3744, 9721, 8415, 3241]",3869,3744,9721,9
"[53, 73, 3869, 3744, 10009, 1735, 649]",3869,3744,10009,9
"[53, 73, 3869, 3744, 10369, 1598, 577]",3869,3744,10369,9
"[53, 73, 3869, 3744, 10513, 6068, 2161]",3869,3744,10513,9
"[53, 73, 3869, 3744, 10657, 6561, 2305]",3869,3744,10657,9
"[53, 73, 3869, 3744, 10729, 6399, 2233]",3869,3744,10729,9
"[53, 73, 3869, 3744, 11161, 8803, 2953]",3869,3744,11161,9
"[53, 73, 3869, 3744, 11593, 4239, 1369]",3869,3744,11593,9
"[53, 73, 3869, 3744, 11953, 10577, 3313]",3869,3744,11953,9
"[53, 73, 3869, 3744, 12097, 6517, 2017]",3869,3744,12097,9
"[53, 73, 3869, 3744, 12241, 8007, 2449]",3869,3744,12241,9
"[53, 73, 3869, 3744, 12457, 722, 217]",3869,3744,12457,9
"[53, 73, 3869, 3744, 12601, 1215, 361]",3869,3744,12601,9
"[53, 73, 3869, 3744, 12889, 8183, 2377]",3869,3744,12889,9
"[53, 73, 3869, 3744, 13033, 3763, 1081]",3869,3744,13033,9
"[53, 73, 3869, 3744, 13177, 5325, 1513]",3869,3744,13177,9
"[53, 73, 3869, 3744, 13249, 3061, 865]",3869,3744,13249,9
"[53, 73, 3869, 3744, 13537, 11458, 3169]",3869,3744,13537,9
"[53, 73, 3869, 3744, 13681, 3687, 1009]",3869,3744,13681,9
"[53, 73, 3869, 3744, 14401, 8866, 2305]",3869,3744,14401,9
"[53, 73, 3869, 3744, 15121, 11054, 2737]",3869,3744,15121,9
"[53, 73, 3869, 3744, 15193, 4971, 1225]",3869,3744,15193,9
"[53, 73, 3869, 3744, 16057, 7724, 1801]",3869,3744,16057,9
"[53, 73, 3869, 3744, 16273, 1882, 433]",3869,3744,16273,9
"[53, 73, 3869, 3744, 16417, 11370, 2593]",3869,3744,16417,9
"[53, 73, 3869, 3744, 16561, 7011, 1585]",3869,3744,16561,9
"[53, 73, 3869, 3744, 16633, 10560, 2377]",3869,3744,16633,9
"[53, 73, 3869, 3744, 16921, 6838, 1513]",3869,3744,16921,9
"[53, 73, 3869, 3744, 16993, 3926, 865]",3869,3744,16993,9
"[53, 73, 3869, 3744, 17137, 13846, 3025]",3869,3744,17137,9
"[53, 73, 3869, 3744, 17209, 14897, 3241]",3869,3744,17209,9
"[53, 73, 3869, 3744, 17497, 3033, 649]",3869,3744,17497,9
"[53, 73, 3869, 3744, 17569, 6762, 1441]",3869,3744,17569,9
"[53, 73, 3869, 3744, 17713, 686, 145]",3869,3744,17713,9
"[53, 73, 3869, 3744, 17929, 17589, 3673]",3869,3744,17929,9
"[53, 73, 3869, 3744, 18217, 10865, 2233]",3869,3744,18217,9
"[53, 73, 3869, 3744, 18289, 3522, 721]",3869,3744,18289,9
"[53, 73, 3869, 3744, 18433, 17020, 3457]",3869,3744,18433,9
"[53, 73, 3869, 3744, 18793, 16991, 3385]",3869,3744,18793,9
"[53, 73, 3869, 3744, 19009, 5854, 1153]",3869,3744,19009,9
"[53, 73, 3869, 3744, 19081, 6977, 1369]",3869,3744,19081,9
"[53, 73, 3869, 3744, 19441, 17203, 3313]",3869,3744,19441,9
"[53, 73, 3869, 3744, 19801, 9525, 1801]",3869,3744,19801,9
"[53, 73, 3869, 3744, 20089, 1937, 361]",3869,3744,20089,9
"[53, 73, 3869, 3744, 20161, 13963, 2593]",3869,3744,20161,9
"[53, 73, 3869, 3744, 20233, 10511, 1945]",3869,3744,20233,9
"[53, 73, 3869, 3744, 20521, 5925, 1081]",3869,3744,20521,9
"[53, 73, 3869, 3744, 20809, 17213, 3097]",3869,3744,20809,9
"[53, 73, 3869, 3744, 21169, 5705, 1009]",3869,3744,21169,9
"[53, 73, 3869, 3744, 21313, 8203, 1441]",3869,3744,21313,9
"[53, 73, 3869, 3744, 21601, 3329, 577]",3869,3744,21601,9
"[53, 73, 3869, 3744, 21673, 21262, 3673]",3869,3744,21673,9
"[53, 73, 3869, 3744, 21817, 12173, 2089]",3869,3744,21817,9
"[53, 73, 3869, 3744, 21961, 13098, 2233]",3869,3744,21961,9
"[53, 73, 3869, 3744, 23041, 17730, 2881]",3869,3744,23041,9
"[53, 73, 3869, 3744, 23473, 15354, 2449]",3869,3744,23473,9
"[53, 73, 3869, 3744, 23689, 1373, 217]",3869,3744,23689,9
"[53, 73, 3869, 3744, 23761, 2748, 433]",3869,3744,23761,9
"[53, 73, 3869, 3744, 23833, 2298, 361]",3869,3744,23833,9
"[53, 73, 3869, 3744, 23977, 12456, 1945]",3869,3744,23977,9
"[53, 73, 3869, 3744, 24049, 10181, 1585]",3869,3744,24049,9
"[53, 73, 3869, 3744, 24121, 15314, 2377]",3869,3744,24121,9
"[53, 73, 3869, 3744, 24481, 5656, 865]",3869,3744,24481,9
"[53, 73, 3869, 3744, 24697, 21379, 3241]",3869,3744,24697,9
