"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[53, 113, 5989, 5824, 8737, 4370, 2913]",5989,5824,8737,100
"[53, 113, 5989, 5824, 10193, 2550, 1457]",5989,5824,10193,100
"[53, 113, 5989, 5824, 14561, 7283, 2913]",5989,5824,14561,100
"[53, 113, 5989, 5824, 21841, 5464, 1457]",5989,5824,21841,100
"[53, 113, 5989, 5824, 23297, 4, 1]",5989,5824,23297,100
"[53, 113, 5989, 5824, 26209, 13109, 2913]",5989,5824,26209,100
"[53, 113, 5989, 5824, 30577, 22938, 4369]",5989,5824,30577,100
"[53, 113, 5989, 5824, 39313, 9835, 1457]",5989,5824,39313,100
"[53, 113, 5989, 5824, 45137, 11292, 1457]",5989,5824,45137,100
"[53, 113, 5989, 5824, 48049, 36045, 4369]",5989,5824,48049,100
"[53, 113, 5989, 5824, 61153, 30587, 2913]",5989,5824,61153,100
"[53, 113, 5989, 5824, 65521, 49152, 4369]",5989,5824,65521,100
"[53, 113, 5989, 5824, 6553, 5735, 5097]",5989,5824,6553,50
"[53, 113, 5989, 5824, 8009, 5007, 3641]",5989,5824,8009,50
"[53, 113, 5989, 5824, 12377, 10832, 5097]",5989,5824,12377,50
"[53, 113, 5989, 5824, 15289, 5736, 2185]",5989,5824,15289,50
"[53, 113, 5989, 5824, 28393, 3554, 729]",5989,5824,28393,50
"[53, 113, 5989, 5824, 34217, 4283, 729]",5989,5824,34217,50
"[53, 113, 5989, 5824, 42953, 26853, 3641]",5989,5824,42953,50
"[53, 113, 5989, 5824, 54601, 34135, 3641]",5989,5824,54601,50
"[53, 113, 5989, 5824, 63337, 7928, 729]",5989,5824,63337,50
"[53, 113, 5989, 5824, 64793, 56705, 5097]",5989,5824,64793,50
"[53, 113, 5989, 5824, 1093, 615, 3277]",5989,5824,1093,26
"[53, 113, 5989, 5824, 2549, 797, 1821]",5989,5824,2549,26
"[53, 113, 5989, 5824, 4733, 4438, 5461]",5989,5824,4733,26
"[53, 113, 5989, 5824, 6917, 3892, 3277]",5989,5824,6917,26
"[53, 113, 5989, 5824, 9829, 616, 365]",5989,5824,9829,26
"[53, 113, 5989, 5824, 13469, 5895, 2549]",5989,5824,13469,26
"[53, 113, 5989, 5824, 14197, 4439, 1821]",5989,5824,14197,26
"[53, 113, 5989, 5824, 16381, 15360, 5461]",5989,5824,16381,26
"[53, 113, 5989, 5824, 17837, 12266, 4005]",5989,5824,17837,26
"[53, 113, 5989, 5824, 20021, 6260, 1821]",5989,5824,20021,26
"[53, 113, 5989, 5824, 20749, 3894, 1093]",5989,5824,20749,26
"[53, 113, 5989, 5824, 25117, 10993, 2549]",5989,5824,25117,26
"[53, 113, 5989, 5824, 26573, 4987, 1093]",5989,5824,26573,26
"[53, 113, 5989, 5824, 30941, 13542, 2549]",5989,5824,30941,26
"[53, 113, 5989, 5824, 36037, 20277, 3277]",5989,5824,36037,26
"[53, 113, 5989, 5824, 37493, 11723, 1821]",5989,5824,37493,26
