"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[13, 271, 3523, 3240, 541, 451, 2701]",3523,3240,541,99.94
"[13, 271, 3523, 3240, 1621, 811, 1621]",3523,3240,1621,99.94
"[13, 271, 3523, 3240, 2161, 721, 1081]",3523,3240,2161,99.94
"[13, 271, 3523, 3240, 4861, 2432, 1621]",3523,3240,4861,99.94
"[13, 271, 3523, 3240, 6481, 2, 1]",3523,3240,6481,99.94
"[13, 271, 3523, 3240, 7561, 5043, 2161]",3523,3240,7561,99.94
"[13, 271, 3523, 3240, 8101, 4053, 1621]",3523,3240,8101,99.94
"[13, 271, 3523, 3240, 8641, 2883, 1081]",3523,3240,8641,99.94
"[13, 271, 3523, 3240, 9181, 1533, 541]",3523,3240,9181,99.94
"[13, 271, 3523, 3240, 9721, 3, 1]",3523,3240,9721,99.94
"[13, 271, 3523, 3240, 12421, 2074, 541]",3523,3240,12421,99.94
"[13, 271, 3523, 3240, 15121, 5045, 1081]",3523,3240,15121,99.94
"[13, 271, 3523, 3240, 15661, 2615, 541]",3523,3240,15661,99.94
"[13, 271, 3523, 3240, 16741, 13956, 2701]",3523,3240,16741,99.94
"[13, 271, 3523, 3240, 19441, 6, 1]",3523,3240,19441,99.94
"[13, 271, 3523, 3240, 20521, 13687, 2161]",3523,3240,20521,99.94
"[13, 271, 3523, 3240, 21061, 10537, 1621]",3523,3240,21061,99.94
"[13, 271, 3523, 3240, 21601, 7207, 1081]",3523,3240,21601,99.94
"[13, 271, 3523, 3240, 23761, 15848, 2161]",3523,3240,23761,99.94
"[13, 271, 3523, 3240, 24841, 8288, 1081]",3523,3240,24841,99.94
"[13, 271, 3523, 3240, 27541, 13779, 1621]",3523,3240,27541,99.94
"[13, 271, 3523, 3240, 28081, 9369, 1081]",3523,3240,28081,99.94
"[13, 271, 3523, 3240, 28621, 4779, 541]",3523,3240,28621,99.94
"[13, 271, 3523, 3240, 30241, 20170, 2161]",3523,3240,30241,99.94
"[13, 271, 3523, 3240, 30781, 15400, 1621]",3523,3240,30781,99.94
"[13, 271, 3523, 3240, 31321, 10450, 1081]",3523,3240,31321,99.94
"[13, 271, 3523, 3240, 32401, 10, 1]",3523,3240,32401,99.94
"[13, 271, 3523, 3240, 32941, 27461, 2701]",3523,3240,32941,99.94
"[13, 271, 3523, 3240, 36721, 24492, 2161]",3523,3240,36721,99.94
"[13, 271, 3523, 3240, 43201, 28814, 2161]",3523,3240,43201,99.94
"[13, 271, 3523, 3240, 44281, 14774, 1081]",3523,3240,44281,99.94
"[13, 271, 3523, 3240, 45361, 14, 1]",3523,3240,45361,99.94
"[13, 271, 3523, 3240, 46441, 30975, 2161]",3523,3240,46441,99.94
"[13, 271, 3523, 3240, 47521, 15855, 1081]",3523,3240,47521,99.94
"[13, 271, 3523, 3240, 49681, 33136, 2161]",3523,3240,49681,99.94
"[13, 271, 3523, 3240, 50221, 25126, 1621]",3523,3240,50221,99.94
"[13, 271, 3523, 3240, 54001, 18017, 1081]",3523,3240,54001,99.94
"[13, 271, 3523, 3240, 54541, 9107, 541]",3523,3240,54541,99.94
"[13, 271, 3523, 3240, 55621, 46368, 2701]",3523,3240,55621,99.94
"[13, 271, 3523, 3240, 56701, 28368, 1621]",3523,3240,56701,99.94
"[13, 271, 3523, 3240, 57241, 19098, 1081]",3523,3240,57241,99.94
"[13, 271, 3523, 3240, 57781, 9648, 541]",3523,3240,57781,99.94
"[13, 271, 3523, 3240, 58321, 18, 1]",3523,3240,58321,99.94
"[13, 271, 3523, 3240, 61561, 19, 1]",3523,3240,61561,99.94
"[13, 271, 3523, 3240, 271, 113, 1351]",3523,3240,271,53.78
"[13, 271, 3523, 3240, 811, 203, 811]",3523,3240,811,53.78
"[13, 271, 3523, 3240, 2971, 1734, 1891]",3523,3240,2971,53.78
"[13, 271, 3523, 3240, 3511, 1464, 1351]",3523,3240,3511,53.78
"[13, 271, 3523, 3240, 4051, 1014, 811]",3523,3240,4051,53.78
"[13, 271, 3523, 3240, 4591, 384, 271]",3523,3240,4591,53.78
"[13, 271, 3523, 3240, 6211, 3625, 1891]",3523,3240,6211,53.78
"[13, 271, 3523, 3240, 10531, 2636, 811]",3523,3240,10531,53.78
"[13, 271, 3523, 3240, 11071, 926, 271]",3523,3240,11071,53.78
"[13, 271, 3523, 3240, 14851, 13618, 2971]",3523,3240,14851,53.78
"[13, 271, 3523, 3240, 15391, 11548, 2431]",3523,3240,15391,53.78
"[13, 271, 3523, 3240, 17011, 4258, 811]",3523,3240,17011,53.78
"[13, 271, 3523, 3240, 17551, 1468, 271]",3523,3240,17551,53.78
"[13, 271, 3523, 3240, 21871, 16410, 2431]",3523,3240,21871,53.78
"[13, 271, 3523, 3240, 24571, 22531, 2971]",3523,3240,24571,53.78
"[13, 271, 3523, 3240, 25111, 18841, 2431]",3523,3240,25111,53.78
"[13, 271, 3523, 3240, 26731, 6691, 811]",3523,3240,26731,53.78
"[13, 271, 3523, 3240, 27271, 2281, 271]",3523,3240,27271,53.78
"[13, 271, 3523, 3240, 28351, 21272, 2431]",3523,3240,28351,53.78
"[13, 271, 3523, 3240, 31051, 28473, 2971]",3523,3240,31051,53.78
"[13, 271, 3523, 3240, 33211, 8313, 811]",3523,3240,33211,53.78
"[13, 271, 3523, 3240, 33751, 2823, 271]",3523,3240,33751,53.78
"[13, 271, 3523, 3240, 35911, 14974, 1351]",3523,3240,35911,53.78
"[13, 271, 3523, 3240, 36451, 9124, 811]",3523,3240,36451,53.78
"[13, 271, 3523, 3240, 38611, 22535, 1891]",3523,3240,38611,53.78
"[13, 271, 3523, 3240, 40231, 3365, 271]",3523,3240,40231,53.78
"[13, 271, 3523, 3240, 40771, 37386, 2971]",3523,3240,40771,53.78
"[13, 271, 3523, 3240, 41851, 24426, 1891]",3523,3240,41851,53.78
"[13, 271, 3523, 3240, 42391, 17676, 1351]",3523,3240,42391,53.78
"[13, 271, 3523, 3240, 45631, 19027, 1351]",3523,3240,45631,53.78
"[13, 271, 3523, 3240, 46171, 11557, 811]",3523,3240,46171,53.78
"[13, 271, 3523, 3240, 47251, 43328, 2971]",3523,3240,47251,53.78
"[13, 271, 3523, 3240, 47791, 35858, 2431]",3523,3240,47791,53.78
"[13, 271, 3523, 3240, 48871, 20378, 1351]",3523,3240,48871,53.78
"[13, 271, 3523, 3240, 49411, 12368, 811]",3523,3240,49411,53.78
"[13, 271, 3523, 3240, 51031, 38289, 2431]",3523,3240,51031,53.78
"[13, 271, 3523, 3240, 53731, 49270, 2971]",3523,3240,53731,53.78
"[13, 271, 3523, 3240, 55351, 23080, 1351]",3523,3240,55351,53.78
"[13, 271, 3523, 3240, 56431, 4720, 271]",3523,3240,56431,53.78
"[13, 271, 3523, 3240, 59671, 4991, 271]",3523,3240,59671,53.78
