"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[23, 89, 2047, 1936, 89, 85, 1849]",2047,1936,89,99.9
"[23, 89, 2047, 1936, 353, 289, 1585]",2047,1936,353,99.9
"[23, 89, 2047, 1936, 617, 421, 1321]",2047,1936,617,99.9
"[23, 89, 2047, 1936, 881, 481, 1057]",2047,1936,881,99.9
"[23, 89, 2047, 1936, 1321, 421, 617]",2047,1936,1321,99.9
"[23, 89, 2047, 1936, 1409, 385, 529]",2047,1936,1409,99.9
"[23, 89, 2047, 1936, 2113, 1922, 1761]",2047,1936,2113,99.9
"[23, 89, 2047, 1936, 2377, 1838, 1497]",2047,1936,2377,99.9
"[23, 89, 2047, 1936, 2729, 1614, 1145]",2047,1936,2729,99.9
"[23, 89, 2047, 1936, 3169, 1154, 705]",2047,1936,3169,99.9
"[23, 89, 2047, 1936, 3257, 1038, 617]",2047,1936,3257,99.9
"[23, 89, 2047, 1936, 3433, 782, 441]",2047,1936,3433,99.9
"[23, 89, 2047, 1936, 3697, 338, 177]",2047,1936,3697,99.9
"[23, 89, 2047, 1936, 4049, 3683, 1761]",2047,1936,4049,99.9
"[23, 89, 2047, 1936, 5281, 1443, 529]",2047,1936,5281,99.9
"[23, 89, 2047, 1936, 5897, 5632, 1849]",2047,1936,5897,99.9
"[23, 89, 2047, 1936, 6073, 5248, 1673]",2047,1936,6073,99.9
"[23, 89, 2047, 1936, 6337, 4612, 1409]",2047,1936,6337,99.9
"[23, 89, 2047, 1936, 6689, 3652, 1057]",2047,1936,6689,99.9
"[23, 89, 2047, 1936, 7129, 2272, 617]",2047,1936,7129,99.9
"[23, 89, 2047, 1936, 7393, 1348, 353]",2047,1936,7393,99.9
"[23, 89, 2047, 1936, 7481, 1024, 265]",2047,1936,7481,99.9
"[23, 89, 2047, 1936, 8009, 6921, 1673]",2047,1936,8009,99.9
"[23, 89, 2047, 1936, 8273, 6021, 1409]",2047,1936,8273,99.9
"[23, 89, 2047, 1936, 8537, 5049, 1145]",2047,1936,8537,99.9
"[23, 89, 2047, 1936, 8713, 4361, 969]",2047,1936,8713,99.9
"[23, 89, 2047, 1936, 9241, 2105, 441]",2047,1936,9241,99.9
"[23, 89, 2047, 1936, 9769, 9330, 1849]",2047,1936,9769,99.9
"[23, 89, 2047, 1936, 9857, 8966, 1761]",2047,1936,9857,99.9
"[23, 89, 2047, 1936, 11177, 2546, 441]",2047,1936,11177,99.9
"[23, 89, 2047, 1936, 11353, 1554, 265]",2047,1936,11353,99.9
"[23, 89, 2047, 1936, 11617, 6, 1]",2047,1936,11617,99.9
"[23, 89, 2047, 1936, 11969, 9799, 1585]",2047,1936,11969,99.9
"[23, 89, 2047, 1936, 12409, 7339, 1145]",2047,1936,12409,99.9
"[23, 89, 2047, 1936, 12497, 6823, 1057]",2047,1936,12497,99.9
"[23, 89, 2047, 1936, 13553, 7, 1]",2047,1936,13553,99.9
"[23, 89, 2047, 1936, 13729, 12488, 1761]",2047,1936,13729,99.9
"[23, 89, 2047, 1936, 14081, 10248, 1409]",2047,1936,14081,99.9
