"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[59, 113, 6667, 6496, 19489, 3, 1]",6667,6496,19489,99.97
"[59, 113, 6667, 6496, 35729, 17870, 3249]",6667,6496,35729,99.97
"[59, 113, 6667, 6496, 38977, 6, 1]",6667,6496,38977,99.97
"[59, 113, 6667, 6496, 55217, 27617, 3249]",6667,6496,55217,99.97
"[59, 113, 6667, 6496, 11369, 2844, 1625]",6667,6496,11369,50.41
"[59, 113, 6667, 6496, 53593, 40203, 4873]",6667,6496,53593,50.41
"[59, 113, 6667, 6496, 60089, 45076, 4873]",6667,6496,60089,50.41
"[59, 113, 6667, 6496, 63337, 15844, 1625]",6667,6496,63337,50.41
"[59, 113, 6667, 6496, 2437, 305, 813]",6667,6496,2437,25.62
"[59, 113, 6667, 6496, 7309, 2742, 2437]",6667,6496,7309,25.62
"[59, 113, 6667, 6496, 8933, 1118, 813]",6667,6496,8933,25.62
"[59, 113, 6667, 6496, 17053, 14924, 5685]",6667,6496,17053,25.62
"[59, 113, 6667, 6496, 23549, 20609, 5685]",6667,6496,23549,25.62
"[59, 113, 6667, 6496, 36541, 31979, 5685]",6667,6496,36541,25.62
"[59, 113, 6667, 6496, 41413, 5183, 813]",6667,6496,41413,25.62
"[59, 113, 6667, 6496, 43037, 37664, 5685]",6667,6496,43037,25.62
"[59, 113, 6667, 6496, 51157, 31981, 4061]",6667,6496,51157,25.62
"[59, 113, 6667, 6496, 57653, 36042, 4061]",6667,6496,57653,25.62
"[59, 113, 6667, 6496, 60901, 7622, 813]",6667,6496,60901,25.62
"[59, 113, 6667, 6496, 929, 531, 3713]",6667,6496,929,15
"[59, 113, 6667, 6496, 4177, 299, 465]",6667,6496,4177,15
"[59, 113, 6667, 6496, 5569, 1592, 1857]",6667,6496,5569,15
"[59, 113, 6667, 6496, 6961, 4476, 4177]",6667,6496,6961,15
"[59, 113, 6667, 6496, 8353, 7161, 5569]",6667,6496,8353,15
"[59, 113, 6667, 6496, 9281, 3979, 2785]",6667,6496,9281,15
"[59, 113, 6667, 6496, 13457, 8653, 4177]",6667,6496,13457,15
"[59, 113, 6667, 6496, 13921, 7957, 3713]",6667,6496,13921,15
"[59, 113, 6667, 6496, 15313, 12034, 5105]",6667,6496,15313,15
"[59, 113, 6667, 6496, 18097, 6466, 2321]",6667,6496,18097,15
"[59, 113, 6667, 6496, 22273, 9549, 2785]",6667,6496,22273,15
"[59, 113, 6667, 6496, 23201, 3318, 929]",6667,6496,23201,15
"[59, 113, 6667, 6496, 24593, 8787, 2321]",6667,6496,24593,15
"[59, 113, 6667, 6496, 25057, 7163, 1857]",6667,6496,25057,15
"[59, 113, 6667, 6496, 26449, 17007, 4177]",6667,6496,26449,15
"[59, 113, 6667, 6496, 30161, 2159, 465]",6667,6496,30161,15
"[59, 113, 6667, 6496, 33409, 19096, 3713]",6667,6496,33409,15
"[59, 113, 6667, 6496, 34337, 29437, 5569]",6667,6496,34337,15
"[59, 113, 6667, 6496, 41761, 17904, 2785]",6667,6496,41761,15
"[59, 113, 6667, 6496, 42689, 6105, 929]",6667,6496,42689,15
"[59, 113, 6667, 6496, 52433, 33715, 4177]",6667,6496,52433,15
"[59, 113, 6667, 6496, 55681, 7963, 929]",6667,6496,55681,15
"[59, 113, 6667, 6496, 57073, 20392, 2321]",6667,6496,57073,15
"[59, 113, 6667, 6496, 59393, 33948, 3713]",6667,6496,59393,15
"[59, 113, 6667, 6496, 64033, 18305, 1857]",6667,6496,64033,15
"[59, 113, 6667, 6496, 2843, 1955, 4467]",6667,6496,2843,13.23
"[59, 113, 6667, 6496, 5279, 4290, 5279]",6667,6496,5279,13.23
"[59, 113, 6667, 6496, 6091, 1143, 1219]",6667,6496,6091,13.23
"[59, 113, 6667, 6496, 8527, 2666, 2031]",6667,6496,8527,13.23
"[59, 113, 6667, 6496, 10151, 636, 407]",6667,6496,10151,13.23
"[59, 113, 6667, 6496, 13399, 7539, 3655]",6667,6496,13399,13.23
"[59, 113, 6667, 6496, 20707, 19416, 6091]",6667,6496,20707,13.23
"[59, 113, 6667, 6496, 23143, 1450, 407]",6667,6496,23143,13.23
"[59, 113, 6667, 6496, 24767, 20127, 5279]",6667,6496,24767,13.23
"[59, 113, 6667, 6496, 25579, 4800, 1219]",6667,6496,25579,13.23
"[59, 113, 6667, 6496, 32887, 18504, 3655]",6667,6496,32887,13.23
"[59, 113, 6667, 6496, 34511, 10790, 2031]",6667,6496,34511,13.23
"[59, 113, 6667, 6496, 35323, 24290, 4467]",6667,6496,35323,13.23
"[59, 113, 6667, 6496, 36947, 16170, 2843]",6667,6496,36947,13.23
"[59, 113, 6667, 6496, 39383, 22159, 3655]",6667,6496,39383,13.23
"[59, 113, 6667, 6496, 46691, 43780, 6091]",6667,6496,46691,13.23
"[59, 113, 6667, 6496, 49939, 21856, 2843]",6667,6496,49939,13.23
"[59, 113, 6667, 6496, 51563, 9676, 1219]",6667,6496,51563,13.23
"[59, 113, 6667, 6496, 62119, 3892, 407]",6667,6496,62119,13.23
"[59, 113, 6667, 6496, 63743, 51801, 5279]",6667,6496,63743,13.23
"[59, 113, 6667, 6496, 233, 25, 697]",6667,6496,233,7.92
"[59, 113, 6667, 6496, 2089, 821, 2553]",6667,6496,2089,7.92
"[59, 113, 6667, 6496, 4409, 788, 1161]",6667,6496,4409,7.92
"[59, 113, 6667, 6496, 5801, 4766, 5337]",6667,6496,5801,7.92
"[59, 113, 6667, 6496, 7193, 258, 233]",6667,6496,7193,7.92
"[59, 113, 6667, 6496, 9049, 2910, 2089]",6667,6496,9049,7.92
"[59, 113, 6667, 6496, 11833, 10567, 5801]",6667,6496,11833,7.92
"[59, 113, 6667, 6496, 14153, 9606, 4409]",6667,6496,14153,7.92
"[59, 113, 6667, 6496, 16937, 9076, 3481]",6667,6496,16937,7.92
"[59, 113, 6667, 6496, 17401, 3110, 1161]",6667,6496,17401,7.92
"[59, 113, 6667, 6496, 18329, 16368, 5801]",6667,6496,18329,7.92
"[59, 113, 6667, 6496, 18793, 15440, 5337]",6667,6496,18793,7.92
"[59, 113, 6667, 6496, 21577, 8480, 2553]",6667,6496,21577,7.92
"[59, 113, 6667, 6496, 26681, 957, 233]",6667,6496,26681,7.92
"[59, 113, 6667, 6496, 28537, 9177, 2089]",6667,6496,28537,7.92
"[59, 113, 6667, 6496, 31321, 27970, 5801]",6667,6496,31321,7.92
"[59, 113, 6667, 6496, 32713, 3510, 697]",6667,6496,32713,7.92
"[59, 113, 6667, 6496, 33641, 22833, 4409]",6667,6496,33641,7.92
"[59, 113, 6667, 6496, 38281, 31451, 5337]",6667,6496,38281,7.92
"[59, 113, 6667, 6496, 39209, 4207, 697]",6667,6496,39209,7.92
"[59, 113, 6667, 6496, 42457, 25784, 3945]",6667,6496,42457,7.92
"[59, 113, 6667, 6496, 44777, 36788, 5337]",6667,6496,44777,7.92
"[59, 113, 6667, 6496, 46633, 31651, 4409]",6667,6496,46633,7.92
"[59, 113, 6667, 6496, 48953, 29729, 3945]",6667,6496,48953,7.92
"[59, 113, 6667, 6496, 49417, 26481, 3481]",6667,6496,49417,7.92
"[59, 113, 6667, 6496, 52201, 5601, 697]",6667,6496,52201,7.92
"[59, 113, 6667, 6496, 53129, 36060, 4409]",6667,6496,53129,7.92
"[59, 113, 6667, 6496, 54521, 17533, 2089]",6667,6496,54521,7.92
"[59, 113, 6667, 6496, 56377, 10076, 1161]",6667,6496,56377,7.92
"[59, 113, 6667, 6496, 62873, 11237, 1161]",6667,6496,62873,7.92
"[59, 113, 6667, 6496, 113, 76, 4369]",6667,6496,113,5.04
"[59, 113, 6667, 6496, 337, 308, 5937]",6667,6496,337,5.04
"[59, 113, 6667, 6496, 449, 62, 897]",6667,6496,449,5.04
"[59, 113, 6667, 6496, 673, 325, 3137]",6667,6496,673,5.04
"[59, 113, 6667, 6496, 1009, 783, 5041]",6667,6496,1009,5.04
"[59, 113, 6667, 6496, 2017, 1600, 5153]",6667,6496,2017,5.04
"[59, 113, 6667, 6496, 2129, 918, 2801]",6667,6496,2129,5.04
"[59, 113, 6667, 6496, 2689, 1484, 3585]",6667,6496,2689,5.04
"[59, 113, 6667, 6496, 2801, 918, 2129]",6667,6496,2801,5.04
"[59, 113, 6667, 6496, 3137, 325, 673]",6667,6496,3137,5.04
"[59, 113, 6667, 6496, 3361, 580, 1121]",6667,6496,3361,5.04
"[59, 113, 6667, 6496, 3697, 2359, 4145]",6667,6496,3697,5.04
"[59, 113, 6667, 6496, 4481, 2782, 4033]",6667,6496,4481,5.04
