"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[47, 541, 25427, 24840, 12421, 6211, 12421]",25427,24840,12421,99.99
"[47, 541, 25427, 24840, 24841, 1, 1]",25427,24840,24841,99.99
"[47, 541, 25427, 24840, 49681, 2, 1]",25427,24840,49681,99.99
"[47, 541, 25427, 24840, 6211, 1553, 6211]",25427,24840,6211,50.08
"[47, 541, 25427, 24840, 31051, 7764, 6211]",25427,24840,31051,50.08
"[47, 541, 25427, 24840, 16561, 5521, 8281]",25427,24840,16561,33.45
"[47, 541, 25427, 24840, 45541, 7592, 4141]",25427,24840,45541,33.45
"[47, 541, 25427, 24840, 4969, 994, 4969]",25427,24840,4969,20.14
"[47, 541, 25427, 24840, 17389, 12173, 17389]",25427,24840,17389,20.14
"[47, 541, 25427, 24840, 59617, 47696, 19873]",25427,24840,59617,20.14
"[47, 541, 25427, 24840, 64171, 58826, 22771]",25427,24840,64171,16.81
"[47, 541, 25427, 24840, 1381, 844, 15181]",25427,24840,1381,11.26
"[47, 541, 25427, 24840, 5521, 2454, 11041]",25427,24840,5521,11.26
"[47, 541, 25427, 24840, 9661, 2684, 6901]",25427,24840,9661,11.26
"[47, 541, 25427, 24840, 31741, 12345, 9661]",25427,24840,31741,11.26
"[47, 541, 25427, 24840, 34501, 9585, 6901]",25427,24840,34501,11.26
"[47, 541, 25427, 24840, 51061, 31206, 15181]",25427,24840,51061,11.26
"[47, 541, 25427, 24840, 55201, 24536, 11041]",25427,24840,55201,11.26
"[47, 541, 25427, 24840, 59341, 16486, 6901]",25427,24840,59341,11.26
"[47, 541, 25427, 24840, 3727, 2050, 13663]",25427,24840,3727,10.15
"[47, 541, 25427, 24840, 23599, 22420, 23599]",25427,24840,23599,10.15
"[47, 541, 25427, 24840, 26083, 16955, 16147]",25427,24840,26083,10.15
"[47, 541, 25427, 24840, 50923, 33102, 16147]",25427,24840,50923,10.15
"[47, 541, 25427, 24840, 53407, 29376, 13663]",25427,24840,53407,10.15
"[47, 541, 25427, 24840, 60859, 27389, 11179]",25427,24840,60859,10.15
"[47, 541, 25427, 24840, 829, 304, 9109]",25427,24840,829,6.83
"[47, 541, 25427, 24840, 1657, 221, 3313]",25427,24840,1657,6.83
"[47, 541, 25427, 24840, 3313, 221, 1657]",25427,24840,3313,6.83
"[47, 541, 25427, 24840, 9109, 304, 829]",25427,24840,9109,6.83
"[47, 541, 25427, 24840, 11593, 8502, 18217]",25427,24840,11593,6.83
"[47, 541, 25427, 24840, 13249, 11483, 21529]",25427,24840,13249,6.83
"[47, 541, 25427, 24840, 15733, 8916, 14077]",25427,24840,15733,6.83
"[47, 541, 25427, 24840, 18217, 8502, 11593]",25427,24840,18217,6.83
"[47, 541, 25427, 24840, 21529, 11483, 13249]",25427,24840,21529,6.83
"[47, 541, 25427, 24840, 26497, 3534, 3313]",25427,24840,26497,6.83
"[47, 541, 25427, 24840, 30637, 29617, 24013]",25427,24840,30637,6.83
"[47, 541, 25427, 24840, 36433, 26719, 18217]",25427,24840,36433,6.83
"[47, 541, 25427, 24840, 38917, 24649, 15733]",25427,24840,38917,6.83
"[47, 541, 25427, 24840, 58789, 1962, 829]",25427,24840,58789,6.83
"[47, 541, 25427, 24840, 62929, 54541, 21529]",25427,24840,62929,6.83
"[47, 541, 25427, 24840, 65413, 37070, 14077]",25427,24840,65413,6.83
