"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[97, 193, 18721, 18432, 193, 191, 18241]",18721,18432,193,100
"[97, 193, 18721, 18432, 577, 559, 17857]",18721,18432,577,100
"[97, 193, 18721, 18432, 769, 737, 17665]",18721,18432,769,100
"[97, 193, 18721, 18432, 1153, 1081, 17281]",18721,18432,1153,100
"[97, 193, 18721, 18432, 2113, 1871, 16321]",18721,18432,2113,100
"[97, 193, 18721, 18432, 2689, 2297, 15745]",18721,18432,2689,100
"[97, 193, 18721, 18432, 3457, 2809, 14977]",18721,18432,3457,100
"[97, 193, 18721, 18432, 4801, 3551, 13633]",18721,18432,4801,100
"[97, 193, 18721, 18432, 4993, 3641, 13441]",18721,18432,4993,100
"[97, 193, 18721, 18432, 5569, 3887, 12865]",18721,18432,5569,100
"[97, 193, 18721, 18432, 5953, 4031, 12481]",18721,18432,5953,100
"[97, 193, 18721, 18432, 6337, 4159, 12097]",18721,18432,6337,100
"[97, 193, 18721, 18432, 6529, 4217, 11905]",18721,18432,6529,100
"[97, 193, 18721, 18432, 7297, 4409, 11137]",18721,18432,7297,100
"[97, 193, 18721, 18432, 7489, 4447, 10945]",18721,18432,7489,100
"[97, 193, 18721, 18432, 7681, 4481, 10753]",18721,18432,7681,100
"[97, 193, 18721, 18432, 7873, 4511, 10561]",18721,18432,7873,100
"[97, 193, 18721, 18432, 8641, 4591, 9793]",18721,18432,8641,100
"[97, 193, 18721, 18432, 9601, 4601, 8833]",18721,18432,9601,100
"[97, 193, 18721, 18432, 10177, 4559, 8257]",18721,18432,10177,100
"[97, 193, 18721, 18432, 10369, 4537, 8065]",18721,18432,10369,100
"[97, 193, 18721, 18432, 10753, 4481, 7681]",18721,18432,10753,100
"[97, 193, 18721, 18432, 11329, 4367, 7105]",18721,18432,11329,100
"[97, 193, 18721, 18432, 12097, 4159, 6337]",18721,18432,12097,100
"[97, 193, 18721, 18432, 12289, 4097, 6145]",18721,18432,12289,100
"[97, 193, 18721, 18432, 13249, 3727, 5185]",18721,18432,13249,100
"[97, 193, 18721, 18432, 13441, 3641, 4993]",18721,18432,13441,100
"[97, 193, 18721, 18432, 13633, 3551, 4801]",18721,18432,13633,100
"[97, 193, 18721, 18432, 14401, 3151, 4033]",18721,18432,14401,100
"[97, 193, 18721, 18432, 14593, 3041, 3841]",18721,18432,14593,100
"[97, 193, 18721, 18432, 15361, 2561, 3073]",18721,18432,15361,100
"[97, 193, 18721, 18432, 15937, 2159, 2497]",18721,18432,15937,100
"[97, 193, 18721, 18432, 18049, 377, 385]",18721,18432,18049,100
"[97, 193, 18721, 18432, 18433, 1, 1]",18721,18432,18433,100
"[97, 193, 18721, 18432, 19009, 18416, 17857]",18721,18432,19009,100
"[97, 193, 18721, 18432, 19777, 18336, 17089]",18721,18432,19777,100
"[97, 193, 18721, 18432, 20161, 18272, 16705]",18721,18432,20161,100
"[97, 193, 18721, 18432, 20353, 18234, 16513]",18721,18432,20353,100
"[97, 193, 18721, 18432, 20929, 18096, 15937]",18721,18432,20929,100
"[97, 193, 18721, 18432, 21121, 18042, 15745]",18721,18432,21121,100
"[97, 193, 18721, 18432, 21313, 17984, 15553]",18721,18432,21313,100
"[97, 193, 18721, 18432, 22273, 17634, 14593]",18721,18432,22273,100
"[97, 193, 18721, 18432, 23041, 17282, 13825]",18721,18432,23041,100
"[97, 193, 18721, 18432, 24001, 16752, 12865]",18721,18432,24001,100
"[97, 193, 18721, 18432, 25153, 15984, 11713]",18721,18432,25153,100
"[97, 193, 18721, 18432, 25537, 15696, 11329]",18721,18432,25537,100
"[97, 193, 18721, 18432, 26113, 15234, 10753]",18721,18432,26113,100
"[97, 193, 18721, 18432, 26497, 14906, 10369]",18721,18432,26497,100
"[97, 193, 18721, 18432, 26881, 14562, 9985]",18721,18432,26881,100
"[97, 193, 18721, 18432, 27073, 14384, 9793]",18721,18432,27073,100
"[97, 193, 18721, 18432, 27457, 14016, 9409]",18721,18432,27457,100
"[97, 193, 18721, 18432, 29569, 11706, 7297]",18721,18432,29569,100
"[97, 193, 18721, 18432, 29761, 11472, 7105]",18721,18432,29761,100
"[97, 193, 18721, 18432, 30529, 10496, 6337]",18721,18432,30529,100
"[97, 193, 18721, 18432, 31489, 9186, 5377]",18721,18432,31489,100
"[97, 193, 18721, 18432, 31873, 8634, 4993]",18721,18432,31873,100
"[97, 193, 18721, 18432, 32257, 8066, 4609]",18721,18432,32257,100
"[97, 193, 18721, 18432, 32833, 7184, 4033]",18721,18432,32833,100
"[97, 193, 18721, 18432, 33409, 6266, 3457]",18721,18432,33409,100
"[97, 193, 18721, 18432, 33601, 5952, 3265]",18721,18432,33601,100
"[97, 193, 18721, 18432, 34369, 4656, 2497]",18721,18432,34369,100
"[97, 193, 18721, 18432, 35521, 2592, 1345]",18721,18432,35521,100
"[97, 193, 18721, 18432, 36097, 1506, 769]",18721,18432,36097,100
"[97, 193, 18721, 18432, 37057, 36673, 18241]",18721,18432,37057,100
"[97, 193, 18721, 18432, 37441, 36273, 17857]",18721,18432,37441,100
"[97, 193, 18721, 18432, 37633, 36067, 17665]",18721,18432,37633,100
"[97, 193, 18721, 18432, 38593, 34977, 16705]",18721,18432,38593,100
"[97, 193, 18721, 18432, 38977, 34513, 16321]",18721,18432,38977,100
"[97, 193, 18721, 18432, 39937, 33283, 15361]",18721,18432,39937,100
"[97, 193, 18721, 18432, 40129, 33025, 15169]",18721,18432,40129,100
"[97, 193, 18721, 18432, 40897, 31953, 14401]",18721,18432,40897,100
"[97, 193, 18721, 18432, 41281, 31393, 14017]",18721,18432,41281,100
"[97, 193, 18721, 18432, 42433, 29617, 12865]",18721,18432,42433,100
"[97, 193, 18721, 18432, 43201, 28353, 12097]",18721,18432,43201,100
"[97, 193, 18721, 18432, 43777, 27363, 11521]",18721,18432,43777,100
"[97, 193, 18721, 18432, 43969, 27025, 11329]",18721,18432,43969,100
"[97, 193, 18721, 18432, 45121, 24913, 10177]",18721,18432,45121,100
"[97, 193, 18721, 18432, 45697, 23803, 9601]",18721,18432,45697,100
"[97, 193, 18721, 18432, 46273, 22657, 9025]",18721,18432,46273,100
"[97, 193, 18721, 18432, 47041, 21073, 8257]",18721,18432,47041,100
"[97, 193, 18721, 18432, 47809, 19425, 7489]",18721,18432,47809,100
"[97, 193, 18721, 18432, 48193, 18577, 7105]",18721,18432,48193,100
"[97, 193, 18721, 18432, 49537, 15483, 5761]",18721,18432,49537,100
"[97, 193, 18721, 18432, 49921, 14563, 5377]",18721,18432,49921,100
"[97, 193, 18721, 18432, 50497, 13153, 4801]",18721,18432,50497,100
"[97, 193, 18721, 18432, 52609, 7675, 2689]",18721,18432,52609,100
"[97, 193, 18721, 18432, 53377, 5563, 1921]",18721,18432,53377,100
