"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[13, 389, 5057, 4656, 4657, 1, 1]",5057,4656,4657,100
"[13, 389, 5057, 4656, 5821, 4367, 3493]",5057,4656,5821,100
"[13, 389, 5057, 4656, 10477, 7860, 3493]",5057,4656,10477,100
"[13, 389, 5057, 4656, 25609, 12810, 2329]",5057,4656,25609,100
"[13, 389, 5057, 4656, 29101, 21832, 3493]",5057,4656,29101,100
"[13, 389, 5057, 4656, 33757, 25325, 3493]",5057,4656,33757,100
"[13, 389, 5057, 4656, 48889, 24455, 2329]",5057,4656,48889,100
"[13, 389, 5057, 4656, 50053, 12524, 1165]",5057,4656,50053,100
"[13, 389, 5057, 4656, 51217, 11, 1]",5057,4656,51217,100
"[13, 389, 5057, 4656, 54709, 13689, 1165]",5057,4656,54709,100
"[13, 389, 5057, 4656, 57037, 42790, 3493]",5057,4656,57037,100
"[13, 389, 5057, 4656, 389, 227, 2717]",5057,4656,389,38
"[13, 389, 5057, 4656, 1553, 518, 1553]",5057,4656,1553,38
"[13, 389, 5057, 4656, 3881, 3235, 3881]",5057,4656,3881,38
"[13, 389, 5057, 4656, 8537, 7116, 3881]",5057,4656,8537,38
"[13, 389, 5057, 4656, 19013, 11095, 2717]",5057,4656,19013,38
"[13, 389, 5057, 4656, 20177, 6730, 1553]",5057,4656,20177,38
"[13, 389, 5057, 4656, 21341, 1783, 389]",5057,4656,21341,38
"[13, 389, 5057, 4656, 23669, 13812, 2717]",5057,4656,23669,38
"[13, 389, 5057, 4656, 25997, 2172, 389]",5057,4656,25997,38
"[13, 389, 5057, 4656, 31817, 26521, 3881]",5057,4656,31817,38
"[13, 389, 5057, 4656, 36473, 30402, 3881]",5057,4656,36473,38
"[13, 389, 5057, 4656, 42293, 24680, 2717]",5057,4656,42293,38
"[13, 389, 5057, 4656, 43457, 14495, 1553]",5057,4656,43457,38
"[13, 389, 5057, 4656, 44621, 3728, 389]",5057,4656,44621,38
"[13, 389, 5057, 4656, 49277, 4117, 389]",5057,4656,49277,38
"[13, 389, 5057, 4656, 50441, 42045, 3881]",5057,4656,50441,38
"[13, 389, 5057, 4656, 52769, 17601, 1553]",5057,4656,52769,38
"[13, 389, 5057, 4656, 59753, 49807, 3881]",5057,4656,59753,38
"[13, 389, 5057, 4656, 60917, 35548, 2717]",5057,4656,60917,38
"[13, 389, 5057, 4656, 62081, 20707, 1553]",5057,4656,62081,38
