"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[5, 89, 445, 352, 89, 67, 265]",445,352,89,99.55
"[5, 89, 445, 352, 353, 1, 1]",445,352,353,99.55
"[5, 89, 445, 352, 617, 156, 89]",445,352,617,99.55
"[5, 89, 445, 352, 881, 443, 177]",445,352,881,99.55
"[5, 89, 445, 352, 1321, 334, 89]",445,352,1321,99.55
"[5, 89, 445, 352, 1409, 4, 1]",445,352,1409,99.55
"[5, 89, 445, 352, 2113, 6, 1]",445,352,2113,99.55
"[5, 89, 445, 352, 2377, 601, 89]",445,352,2377,99.55
"[5, 89, 445, 352, 2729, 690, 89]",445,352,2729,99.55
"[5, 89, 445, 352, 3169, 9, 1]",445,352,3169,99.55
"[5, 89, 445, 352, 3257, 2452, 265]",445,352,3257,99.55
"[5, 89, 445, 352, 3433, 868, 89]",445,352,3433,99.55
"[5, 89, 445, 352, 3697, 1859, 177]",445,352,3697,99.55
"[5, 89, 445, 352, 4049, 2036, 177]",445,352,4049,99.55
"[5, 89, 445, 352, 5281, 15, 1]",445,352,5281,99.55
"[5, 89, 445, 352, 5897, 1491, 89]",445,352,5897,99.55
"[5, 89, 445, 352, 6073, 4572, 265]",445,352,6073,99.55
"[5, 89, 445, 352, 6337, 18, 1]",445,352,6337,99.55
"[5, 89, 445, 352, 6689, 19, 1]",445,352,6689,99.55
"[5, 89, 445, 352, 7129, 5367, 265]",445,352,7129,99.55
"[5, 89, 445, 352, 7393, 21, 1]",445,352,7393,99.55
"[5, 89, 445, 352, 7481, 5632, 265]",445,352,7481,99.55
"[5, 89, 445, 352, 8009, 2025, 89]",445,352,8009,99.55
"[5, 89, 445, 352, 8273, 4160, 177]",445,352,8273,99.55
"[5, 89, 445, 352, 8537, 6427, 265]",445,352,8537,99.55
"[5, 89, 445, 352, 8713, 2203, 89]",445,352,8713,99.55
"[5, 89, 445, 352, 9241, 6957, 265]",445,352,9241,99.55
"[5, 89, 445, 352, 9769, 2470, 89]",445,352,9769,99.55
"[5, 89, 445, 352, 9857, 28, 1]",445,352,9857,99.55
"[5, 89, 445, 352, 11177, 2826, 89]",445,352,11177,99.55
"[5, 89, 445, 352, 11353, 8547, 265]",445,352,11353,99.55
"[5, 89, 445, 352, 11617, 33, 1]",445,352,11617,99.55
"[5, 89, 445, 352, 11969, 34, 1]",445,352,11969,99.55
"[5, 89, 445, 352, 12409, 9342, 265]",445,352,12409,99.55
"[5, 89, 445, 352, 12497, 6284, 177]",445,352,12497,99.55
"[5, 89, 445, 352, 13553, 6815, 177]",445,352,13553,99.55
"[5, 89, 445, 352, 13729, 39, 1]",445,352,13729,99.55
