"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[23, 193, 4439, 4224, 2113, 1057, 2113]",4439,4224,2113,99.95
"[23, 193, 4439, 4224, 6337, 3170, 2113]",4439,4224,6337,99.95
"[23, 193, 4439, 4224, 19009, 9509, 2113]",4439,4224,19009,99.95
"[23, 193, 4439, 4224, 21121, 5, 1]",4439,4224,21121,99.95
"[23, 193, 4439, 4224, 27457, 13735, 2113]",4439,4224,27457,99.95
"[23, 193, 4439, 4224, 29569, 7, 1]",4439,4224,29569,99.95
"[23, 193, 4439, 4224, 40129, 20074, 2113]",4439,4224,40129,99.95
"[23, 193, 4439, 4224, 63361, 15, 1]",4439,4224,63361,99.95
"[23, 193, 4439, 4224, 3169, 793, 1057]",4439,4224,3169,50.2
"[23, 193, 4439, 4224, 5281, 3962, 3169]",4439,4224,5281,50.2
"[23, 193, 4439, 4224, 7393, 1850, 1057]",4439,4224,7393,50.2
"[23, 193, 4439, 4224, 11617, 2907, 1057]",4439,4224,11617,50.2
"[23, 193, 4439, 4224, 13729, 10300, 3169]",4439,4224,13729,50.2
"[23, 193, 4439, 4224, 28513, 7135, 1057]",4439,4224,28513,50.2
"[23, 193, 4439, 4224, 34849, 26145, 3169]",4439,4224,34849,50.2
"[23, 193, 4439, 4224, 47521, 35652, 3169]",4439,4224,47521,50.2
"[23, 193, 4439, 4224, 49633, 12420, 1057]",4439,4224,49633,50.2
"[23, 193, 4439, 4224, 53857, 13477, 1057]",4439,4224,53857,50.2
"[23, 193, 4439, 4224, 1409, 470, 1409]",4439,4224,1409,33.62
"[23, 193, 4439, 4224, 9857, 3288, 1409]",4439,4224,9857,33.62
"[23, 193, 4439, 4224, 11969, 9977, 3521]",4439,4224,11969,33.62
"[23, 193, 4439, 4224, 14081, 4697, 1409]",4439,4224,14081,33.62
"[23, 193, 4439, 4224, 16193, 13498, 3521]",4439,4224,16193,33.62
"[23, 193, 4439, 4224, 30977, 10333, 1409]",4439,4224,30977,33.62
"[23, 193, 4439, 4224, 35201, 11742, 1409]",4439,4224,35201,33.62
"[23, 193, 4439, 4224, 37313, 31103, 3521]",4439,4224,37313,33.62
"[23, 193, 4439, 4224, 43649, 14560, 1409]",4439,4224,43649,33.62
"[23, 193, 4439, 4224, 3697, 463, 529]",4439,4224,3697,25.33
"[23, 193, 4439, 4224, 15313, 5746, 1585]",4439,4224,15313,25.33
"[23, 193, 4439, 4224, 16369, 2050, 529]",4439,4224,16369,25.33
"[23, 193, 4439, 4224, 18481, 11555, 2641]",4439,4224,18481,25.33
"[23, 193, 4439, 4224, 20593, 2579, 529]",4439,4224,20593,25.33
"[23, 193, 4439, 4224, 21649, 18948, 3697]",4439,4224,21649,25.33
"[23, 193, 4439, 4224, 23761, 8916, 1585]",4439,4224,23761,25.33
"[23, 193, 4439, 4224, 25873, 22645, 3697]",4439,4224,25873,25.33
"[23, 193, 4439, 4224, 30097, 26342, 3697]",4439,4224,30097,25.33
"[23, 193, 4439, 4224, 31153, 19478, 2641]",4439,4224,31153,25.33
"[23, 193, 4439, 4224, 36433, 13671, 1585]",4439,4224,36433,25.33
"[23, 193, 4439, 4224, 37489, 4695, 529]",4439,4224,37489,25.33
"[23, 193, 4439, 4224, 46993, 41130, 3697]",4439,4224,46993,25.33
"[23, 193, 4439, 4224, 48049, 30042, 2641]",4439,4224,48049,25.33
"[23, 193, 4439, 4224, 51217, 44827, 3697]",4439,4224,51217,25.33
"[23, 193, 4439, 4224, 55441, 48524, 3697]",4439,4224,55441,25.33
"[23, 193, 4439, 4224, 353, 206, 2465]",4439,4224,353,17.03
"[23, 193, 4439, 4224, 6689, 559, 353]",4439,4224,6689,17.03
"[23, 193, 4439, 4224, 15137, 1265, 353]",4439,4224,15137,17.03
"[23, 193, 4439, 4224, 27809, 2324, 353]",4439,4224,27809,17.03
