"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[89, 257, 22873, 22528, 14081, 5281, 8449]",22873,22528,14081,99.99
"[89, 257, 22873, 22528, 30977, 19362, 14081]",22873,22528,30977,99.99
"[89, 257, 22873, 22528, 1409, 1321, 21121]",22873,22528,1409,50.18
"[89, 257, 22873, 22528, 9857, 5545, 12673]",22873,22528,9857,50.18
"[89, 257, 22873, 22528, 21121, 1321, 1409]",22873,22528,21121,50.18
"[89, 257, 22873, 22528, 29569, 20330, 15489]",22873,22528,29569,50.18
"[89, 257, 22873, 22528, 35201, 15402, 9857]",22873,22528,35201,50.18
"[89, 257, 22873, 22528, 43649, 2730, 1409]",22873,22528,43649,50.18
"[89, 257, 22873, 22528, 63361, 11883, 4225]",22873,22528,63361,50.18
"[89, 257, 22873, 22528, 2113, 1915, 20417]",22873,22528,2113,25.28
"[89, 257, 22873, 22528, 6337, 4555, 16193]",22873,22528,6337,25.28
"[89, 257, 22873, 22528, 11969, 5611, 10561]",22873,22528,11969,25.28
"[89, 257, 22873, 22528, 16193, 4555, 6337]",22873,22528,16193,25.28
"[89, 257, 22873, 22528, 19009, 2971, 3521]",22873,22528,19009,25.28
"[89, 257, 22873, 22528, 27457, 21452, 17601]",22873,22528,27457,25.28
"[89, 257, 22873, 22528, 37313, 12828, 7745]",22873,22528,37313,25.28
"[89, 257, 22873, 22528, 40129, 8780, 4929]",22873,22528,40129,25.28
"[89, 257, 22873, 22528, 353, 171, 10913]",22873,22528,353,12.83
"[89, 257, 22873, 22528, 3169, 1139, 8097]",22873,22528,3169,12.83
"[89, 257, 22873, 22528, 5281, 1403, 5985]",22873,22528,5281,12.83
"[89, 257, 22873, 22528, 6689, 1359, 4577]",22873,22528,6689,12.83
"[89, 257, 22873, 22528, 7393, 1271, 3873]",22873,22528,7393,12.83
"[89, 257, 22873, 22528, 11617, 11436, 22177]",22873,22528,11617,12.83
"[89, 257, 22873, 22528, 13729, 12228, 20065]",22873,22528,13729,12.83
"[89, 257, 22873, 22528, 15137, 12536, 18657]",22873,22528,15137,12.83
"[89, 257, 22873, 22528, 27809, 7388, 5985]",22873,22528,27809,12.83
"[89, 257, 22873, 22528, 28513, 6684, 5281]",22873,22528,28513,12.83
"[89, 257, 22873, 22528, 29921, 5144, 3873]",22873,22528,29921,12.83
"[89, 257, 22873, 22528, 34849, 33217, 21473]",22873,22528,34849,12.83
"[89, 257, 22873, 22528, 46817, 19753, 9505]",22873,22528,46817,12.83
"[89, 257, 22873, 22528, 47521, 18565, 8801]",22873,22528,47521,12.83
"[89, 257, 22873, 22528, 49633, 14737, 6689]",22873,22528,49633,12.83
"[89, 257, 22873, 22528, 53857, 5893, 2465]",22873,22528,53857,12.83
"[89, 257, 22873, 22528, 257, 184, 16129]",22873,22528,257,10.1
"[89, 257, 22873, 22528, 769, 603, 17665]",22873,22528,769,10.1
"[89, 257, 22873, 22528, 3329, 3140, 21249]",22873,22528,3329,10.1
"[89, 257, 22873, 22528, 7681, 2968, 8705]",22873,22528,7681,10.1
"[89, 257, 22873, 22528, 7937, 7306, 20737]",22873,22528,7937,10.1
"[89, 257, 22873, 22528, 9473, 8074, 19201]",22873,22528,9473,10.1
"[89, 257, 22873, 22528, 10753, 8554, 17921]",22873,22528,10753,10.1
"[89, 257, 22873, 22528, 11777, 6692, 12801]",22873,22528,11777,10.1
"[89, 257, 22873, 22528, 12289, 8938, 16385]",22873,22528,12289,10.1
"[89, 257, 22873, 22528, 13313, 1816, 3073]",22873,22528,13313,10.1
"[89, 257, 22873, 22528, 14593, 6468, 9985]",22873,22528,14593,10.1
"[89, 257, 22873, 22528, 15361, 13267, 19457]",22873,22528,15361,10.1
"[89, 257, 22873, 22528, 17921, 8554, 10753]",22873,22528,17921,10.1
"[89, 257, 22873, 22528, 18433, 5028, 6145]",22873,22528,18433,10.1
"[89, 257, 22873, 22528, 19457, 13267, 15361]",22873,22528,19457,10.1
"[89, 257, 22873, 22528, 22273, 12403, 12545]",22873,22528,22273,10.1
"[89, 257, 22873, 22528, 23041, 1572, 1537]",22873,22528,23041,10.1
"[89, 257, 22873, 22528, 23297, 18268, 17665]",22873,22528,23297,10.1
"[89, 257, 22873, 22528, 25601, 15129, 13313]",22873,22528,25601,10.1
"[89, 257, 22873, 22528, 26113, 17212, 14849]",22873,22528,26113,10.1
"[89, 257, 22873, 22528, 26881, 24133, 20225]",22873,22528,26881,10.1
"[89, 257, 22873, 22528, 31489, 21829, 15617]",22873,22528,31489,10.1
"[89, 257, 22873, 22528, 32257, 3667, 2561]",22873,22528,32257,10.1
"[89, 257, 22873, 22528, 36097, 24203, 15105]",22873,22528,36097,10.1
"[89, 257, 22873, 22528, 36353, 33876, 20993]",22873,22528,36353,10.1
"[89, 257, 22873, 22528, 37633, 22667, 13569]",22873,22528,37633,10.1
"[89, 257, 22873, 22528, 37889, 32724, 19457]",22873,22528,37889,10.1
"[89, 257, 22873, 22528, 39937, 12709, 7169]",22873,22528,39937,10.1
"[89, 257, 22873, 22528, 40193, 1372, 769]",22873,22528,40193,10.1
"[89, 257, 22873, 22528, 40961, 11173, 6145]",22873,22528,40961,10.1
"[89, 257, 22873, 22528, 41729, 17547, 9473]",22873,22528,41729,10.1
"[89, 257, 22873, 22528, 43777, 6469, 3329]",22873,22528,43777,10.1
"[89, 257, 22873, 22528, 45569, 3109, 1537]",22873,22528,45569,10.1
"[89, 257, 22873, 22528, 46337, 22644, 11009]",22873,22528,46337,10.1
"[89, 257, 22873, 22528, 49409, 44358, 20225]",22873,22528,49409,10.1
"[89, 257, 22873, 22528, 49921, 25530, 11521]",22873,22528,49921,10.1
"[89, 257, 22873, 22528, 50177, 2283, 1025]",22873,22528,50177,10.1
"[89, 257, 22873, 22528, 51713, 50540, 22017]",22873,22528,51713,10.1
"[89, 257, 22873, 22528, 57089, 16221, 6401]",22873,22528,57089,10.1
"[89, 257, 22873, 22528, 57601, 56949, 22273]",22873,22528,57601,10.1
"[89, 257, 22873, 22528, 58369, 7962, 3073]",22873,22528,58369,10.1
"[89, 257, 22873, 22528, 59393, 5402, 2049]",22873,22528,59393,10.1
"[89, 257, 22873, 22528, 60161, 36236, 13569]",22873,22528,60161,10.1
"[89, 257, 22873, 22528, 61441, 33516, 12289]",22873,22528,61441,10.1
"[89, 257, 22873, 22528, 64513, 43989, 15361]",22873,22528,64513,10.1
"[89, 257, 22873, 22528, 881, 296, 7569]",22873,22528,881,6.6
"[89, 257, 22873, 22528, 3697, 780, 4753]",22873,22528,3697,6.6
"[89, 257, 22873, 22528, 4049, 791, 4401]",22873,22528,4049,6.6
"[89, 257, 22873, 22528, 8273, 65, 177]",22873,22528,8273,6.6
"[89, 257, 22873, 22528, 12497, 10252, 18481]",22873,22528,12497,6.6
"[89, 257, 22873, 22528, 13553, 10483, 17425]",22873,22528,13553,6.6
"[89, 257, 22873, 22528, 15313, 10648, 15665]",22873,22528,15313,6.6
"[89, 257, 22873, 22528, 16369, 10615, 14609]",22873,22528,16369,6.6
"[89, 257, 22873, 22528, 18481, 10252, 12497]",22873,22528,18481,6.6
"[89, 257, 22873, 22528, 19889, 9790, 11089]",22873,22528,19889,6.6
"[89, 257, 22873, 22528, 20593, 9493, 10385]",22873,22528,20593,6.6
"[89, 257, 22873, 22528, 21649, 8965, 9329]",22873,22528,21649,6.6
"[89, 257, 22873, 22528, 23057, 8107, 7921]",22873,22528,23057,6.6
"[89, 257, 22873, 22528, 23761, 7612, 7217]",22873,22528,23761,6.6
"[89, 257, 22873, 22528, 24113, 7348, 6865]",22873,22528,24113,6.6
"[89, 257, 22873, 22528, 25169, 6490, 5809]",22873,22528,25169,6.6
"[89, 257, 22873, 22528, 25873, 5863, 5105]",22873,22528,25873,6.6
"[89, 257, 22873, 22528, 27281, 4477, 3697]",22873,22528,27281,6.6
"[89, 257, 22873, 22528, 30097, 1177, 881]",22873,22528,30097,6.6
"[89, 257, 22873, 22528, 30449, 715, 529]",22873,22528,30449,6.6
"[89, 257, 22873, 22528, 31153, 30911, 22353]",22873,22528,31153,6.6
"[89, 257, 22873, 22528, 32561, 30273, 20945]",22873,22528,32561,6.6
"[89, 257, 22873, 22528, 33617, 29679, 19889]",22873,22528,33617,6.6
"[89, 257, 22873, 22528, 34673, 28986, 18833]",22873,22528,34673,6.6
"[89, 257, 22873, 22528, 35729, 28194, 17777]",22873,22528,35729,6.6
"[89, 257, 22873, 22528, 36433, 27611, 17073]",22873,22528,36433,6.6
"[89, 257, 22873, 22528, 37489, 26654, 16017]",22873,22528,37489,6.6
"[89, 257, 22873, 22528, 39953, 24036, 13553]",22873,22528,39953,6.6
"[89, 257, 22873, 22528, 45233, 16611, 8273]",22873,22528,45233,6.6
"[89, 257, 22873, 22528, 46993, 13586, 6513]",22873,22528,46993,6.6
"[89, 257, 22873, 22528, 48049, 11639, 5457]",22873,22528,48049,6.6
"[89, 257, 22873, 22528, 50513, 6711, 2993]",22873,22528,50513,6.6
"[89, 257, 22873, 22528, 51217, 5204, 2289]",22873,22528,51217,6.6
"[89, 257, 22873, 22528, 53681, 53264, 22353]",22873,22528,53681,6.6
"[89, 257, 22873, 22528, 55441, 50679, 20593]",22873,22528,55441,6.6
"[89, 257, 22873, 22528, 55793, 50129, 20241]",22873,22528,55793,6.6
"[89, 257, 22873, 22528, 60017, 42671, 16017]",22873,22528,60017,6.6
"[89, 257, 22873, 22528, 62129, 38348, 13905]",22873,22528,62129,6.6
"[89, 257, 22873, 22528, 641, 448, 15745]",22873,22528,641,5.06
"[89, 257, 22873, 22528, 1153, 570, 11137]",22873,22528,1153,5.06
