"p, q, n, Phi, e, k, d",N,Totient,E,Transparency Percentage
"[13, 257, 3341, 3072, 769, 577, 2305]",3341,3072,769,99.94
"[13, 257, 3341, 3072, 7681, 3843, 1537]",3341,3072,7681,99.94
"[13, 257, 3341, 3072, 10753, 5380, 1537]",3341,3072,10753,99.94
"[13, 257, 3341, 3072, 12289, 4, 1]",3341,3072,12289,99.94
"[13, 257, 3341, 3072, 14593, 3653, 769]",3341,3072,14593,99.94
"[13, 257, 3341, 3072, 15361, 5, 1]",3341,3072,15361,99.94
"[13, 257, 3341, 3072, 18433, 6, 1]",3341,3072,18433,99.94
"[13, 257, 3341, 3072, 22273, 16712, 2305]",3341,3072,22273,99.94
"[13, 257, 3341, 3072, 23041, 11528, 1537]",3341,3072,23041,99.94
"[13, 257, 3341, 3072, 26113, 13065, 1537]",3341,3072,26113,99.94
"[13, 257, 3341, 3072, 26881, 6729, 769]",3341,3072,26881,99.94
"[13, 257, 3341, 3072, 31489, 23627, 2305]",3341,3072,31489,99.94
"[13, 257, 3341, 3072, 32257, 16139, 1537]",3341,3072,32257,99.94
"[13, 257, 3341, 3072, 36097, 9036, 769]",3341,3072,36097,99.94
"[13, 257, 3341, 3072, 37633, 28237, 2305]",3341,3072,37633,99.94
"[13, 257, 3341, 3072, 39937, 13, 1]",3341,3072,39937,99.94
"[13, 257, 3341, 3072, 43777, 32847, 2305]",3341,3072,43777,99.94
"[13, 257, 3341, 3072, 49921, 37457, 2305]",3341,3072,49921,99.94
"[13, 257, 3341, 3072, 57601, 14419, 769]",3341,3072,57601,99.94
"[13, 257, 3341, 3072, 58369, 19, 1]",3341,3072,58369,99.94
"[13, 257, 3341, 3072, 61441, 20, 1]",3341,3072,61441,99.94
"[13, 257, 3341, 3072, 64513, 21, 1]",3341,3072,64513,99.94
"[13, 257, 3341, 3072, 1153, 721, 1921]",3341,3072,1153,50.12
"[13, 257, 3341, 3072, 2689, 337, 385]",3341,3072,2689,50.12
"[13, 257, 3341, 3072, 3457, 3026, 2689]",3341,3072,3457,50.12
"[13, 257, 3341, 3072, 4993, 1874, 1153]",3341,3072,4993,50.12
"[13, 257, 3341, 3072, 6529, 5715, 2689]",3341,3072,6529,50.12
"[13, 257, 3341, 3072, 7297, 4563, 1921]",3341,3072,7297,50.12
"[13, 257, 3341, 3072, 9601, 8404, 2689]",3341,3072,9601,50.12
"[13, 257, 3341, 3072, 10369, 6484, 1921]",3341,3072,10369,50.12
"[13, 257, 3341, 3072, 13441, 8405, 1921]",3341,3072,13441,50.12
"[13, 257, 3341, 3072, 18049, 2262, 385]",3341,3072,18049,50.12
"[13, 257, 3341, 3072, 20353, 7639, 1153]",3341,3072,20353,50.12
"[13, 257, 3341, 3072, 21121, 2647, 385]",3341,3072,21121,50.12
"[13, 257, 3341, 3072, 26497, 9945, 1153]",3341,3072,26497,50.12
"[13, 257, 3341, 3072, 29569, 11098, 1153]",3341,3072,29569,50.12
"[13, 257, 3341, 3072, 31873, 19931, 1921]",3341,3072,31873,50.12
"[13, 257, 3341, 3072, 33409, 4187, 385]",3341,3072,33409,50.12
"[13, 257, 3341, 3072, 45697, 5727, 385]",3341,3072,45697,50.12
"[13, 257, 3341, 3072, 49537, 43361, 2689]",3341,3072,49537,50.12
"[13, 257, 3341, 3072, 52609, 46050, 2689]",3341,3072,52609,50.12
"[13, 257, 3341, 3072, 53377, 33378, 1921]",3341,3072,53377,50.12
"[13, 257, 3341, 3072, 55681, 48739, 2689]",3341,3072,55681,50.12
"[13, 257, 3341, 3072, 60289, 22628, 1153]",3341,3072,60289,50.12
"[13, 257, 3341, 3072, 61057, 7652, 385]",3341,3072,61057,50.12
"[13, 257, 3341, 3072, 63361, 23781, 1153]",3341,3072,63361,50.12
"[13, 257, 3341, 3072, 257, 150, 1793]",3341,3072,257,38.38
"[13, 257, 3341, 3072, 3329, 1943, 1793]",3341,3072,3329,38.38
"[13, 257, 3341, 3072, 7937, 664, 257]",3341,3072,7937,38.38
"[13, 257, 3341, 3072, 9473, 5529, 1793]",3341,3072,9473,38.38
"[13, 257, 3341, 3072, 11777, 9818, 2561]",3341,3072,11777,38.38
"[13, 257, 3341, 3072, 13313, 4442, 1025]",3341,3072,13313,38.38
"[13, 257, 3341, 3072, 14081, 1178, 257]",3341,3072,14081,38.38
"[13, 257, 3341, 3072, 17921, 14940, 2561]",3341,3072,17921,38.38
"[13, 257, 3341, 3072, 19457, 6492, 1025]",3341,3072,19457,38.38
"[13, 257, 3341, 3072, 23297, 1949, 257]",3341,3072,23297,38.38
"[13, 257, 3341, 3072, 25601, 8542, 1025]",3341,3072,25601,38.38
"[13, 257, 3341, 3072, 30977, 18080, 1793]",3341,3072,30977,38.38
"[13, 257, 3341, 3072, 36353, 30306, 2561]",3341,3072,36353,38.38
"[13, 257, 3341, 3072, 37889, 12642, 1025]",3341,3072,37889,38.38
"[13, 257, 3341, 3072, 40193, 23459, 1793]",3341,3072,40193,38.38
"[13, 257, 3341, 3072, 40961, 13667, 1025]",3341,3072,40961,38.38
"[13, 257, 3341, 3072, 41729, 3491, 257]",3341,3072,41729,38.38
"[13, 257, 3341, 3072, 45569, 37989, 2561]",3341,3072,45569,38.38
"[13, 257, 3341, 3072, 46337, 27045, 1793]",3341,3072,46337,38.38
"[13, 257, 3341, 3072, 49409, 28838, 1793]",3341,3072,49409,38.38
"[13, 257, 3341, 3072, 50177, 16742, 1025]",3341,3072,50177,38.38
"[13, 257, 3341, 3072, 51713, 43111, 2561]",3341,3072,51713,38.38
"[13, 257, 3341, 3072, 57089, 4776, 257]",3341,3072,57089,38.38
